Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/11 - 02:43:21.2071715,62.16403,-0.005077012,-0.05063982,-0.04708059,9.340215,4.710677,358.3931,0.1197726,-0.4487023,0.1886514,6.473386,6.670046,346.9613,0,0
2018/07/11 - 02:43:21.2300885,62.18607,-0.004284028,-0.05047578,-0.0473676,9.479606,5.555006,358.3961,0.1187214,-0.4582233,0.1906705,10.02532,6.899001,346.907,0,0
2018/07/11 - 02:43:21.2520288,62.21023,-0.003672627,-0.0504755,-0.04734477,9.400409,6.501235,358.4283,0.1199232,-0.4652157,0.1916332,11.77969,8.324143,347.3424,0,0
2018/07/11 - 02:43:21.2749675,62.23169,-0.002996595,-0.05059936,-0.0473878,9.402313,7.458975,358.5352,0.123107,-0.4712439,0.1932102,14.14252,10.2669,347.6971,0,0
2018/07/11 - 02:43:21.2969095,62.254,-0.002180547,-0.05063067,-0.04745159,9.565694,8.222666,358.5889,0.1262341,-0.4763977,0.1943242,16.70969,10.38899,346.4202,0,0
2018/07/11 - 02:43:21.3188967,62.27647,-0.00146149,-0.05089047,-0.04737717,9.601789,9.098067,358.7603,0.126251,-0.4679656,0.18906,10.90152,10.27704,347.7256,0,0
2018/07/11 - 02:43:21.3418354,62.29837,-0.000606738,-0.05096649,-0.04741044,9.768702,9.862181,358.9771,0.1271218,-0.4673492,0.1911249,13.77595,9.512953,347.4923,0,0
2018/07/11 - 02:43:21.3637771,62.32106,0.0001855604,-0.05127233,-0.04752732,9.839087,10.66329,359.1323,0.1296102,-0.4674397,0.1918439,15.37818,11.56223,347.1886,0,0
2018/07/11 - 02:43:21.3966883,62.34343,0.001009524,-0.05134793,-0.04807089,10.13671,11.32711,359.2208,0.1318808,-0.4683578,0.1927329,16.26686,10.83912,346.4454,0,0
2018/07/11 - 02:43:21.4146527,62.37519,0.001724738,-0.05119189,-0.04849407,10.17901,12.06147,359.1218,0.1368387,-0.4668789,0.1914688,17.40057,13.20656,346.932,0,0
2018/07/11 - 02:43:21.4315944,62.39486,0.002509523,-0.05071035,-0.04869531,10.0332,12.73236,358.9751,0.1403946,-0.4631332,0.189082,16.09039,14.05406,347.7779,0,0
2018/07/11 - 02:43:21.4515408,62.41189,0.003406335,-0.05014905,-0.04866771,9.668612,13.43667,358.9619,0.1448742,-0.4582545,0.1864159,14.11632,15.6416,349.3128,0,0
2018/07/11 - 02:43:21.4745062,62.43096,0.004357263,-0.04982843,-0.04869893,9.606576,14.17544,359.0055,0.1497902,-0.4547749,0.1843256,13.32784,16.86542,349.7516,0,0
2018/07/11 - 02:43:21.4986634,62.45361,0.005577382,-0.05019424,-0.04908178,9.793404,15.0946,359.286,0.1547492,-0.4529747,0.1829939,14.14318,16.92851,348.5851,0,0
2018/07/11 - 02:43:21.5166158,62.47777,0.006951761,-0.05056557,-0.04968674,10.11394,16.2752,359.4214,0.1615587,-0.4519003,0.1816608,15.43537,17.34841,347.5235,0,0
2018/07/11 - 02:43:21.5405790,62.49663,0.008746915,-0.05044676,-0.05019545,10.22438,18.00447,359.248,0.1699501,-0.4507779,0.1791172,15.19006,19.89426,348.2296,0,0
2018/07/11 - 02:43:21.5624931,62.52056,0.01077417,-0.05021637,-0.05071457,10.02077,19.80753,359.2219,0.1800471,-0.4498799,0.1761656,13.98721,24.30252,350.5955,0,0
2018/07/11 - 02:43:21.5854310,62.54229,0.01288911,-0.05000402,-0.05162325,9.935637,21.69274,359.1667,0.1903528,-0.449992,0.1736824,13.9149,26.80985,352.0938,0,0
2018/07/11 - 02:43:21.6083696,62.56535,0.01488897,-0.05007459,-0.05247901,9.774638,23.57603,359.4983,0.2024625,-0.4505617,0.1714154,14.9952,28.02798,351.5982,0,0
2018/07/11 - 02:43:21.6313075,62.5881,0.01680826,-0.05008927,-0.05350235,9.603163,25.17874,359.5242,0.2155424,-0.4517855,0.1691796,16.2533,29.32377,350.8964,0,0
2018/07/11 - 02:43:21.6572391,62.61044,0.01892358,-0.05001853,-0.05480133,9.387226,27.10423,359.5898,0.2279494,-0.4531664,0.1667266,16.29106,31.89598,351.6924,0,0
2018/07/11 - 02:43:21.6791799,62.63671,0.02096935,-0.05000158,-0.0561994,9.199013,28.91618,359.6827,0.2403826,-0.4547388,0.1644587,16.66908,35.19016,352.7607,0,0
2018/07/11 - 02:43:21.7021180,62.65858,0.02284028,-0.05008309,-0.05777983,9.130917,30.5482,359.9404,0.2511834,-0.4552047,0.1615181,16.60883,36.98114,353.0275,0,0
2018/07/11 - 02:43:21.7280488,62.68099,0.024526,-0.04997369,-0.05934596,9.118375,31.88892,0.007924983,0.2600442,-0.4555195,0.1590611,17.47577,36.36254,351.5689,0,0
2018/07/11 - 02:43:21.7440058,62.70724,0.02625994,-0.04978149,-0.06094483,9.058572,33.27132,0.02627927,0.2678996,-0.4556371,0.156528,18.2906,37.53901,351.3228,0,0
2018/07/11 - 02:43:21.7649505,62.72456,0.02807031,-0.04951246,-0.06261121,8.832795,34.64045,359.9521,0.2741648,-0.4545793,0.1539903,17.99123,38.78222,351.6089,1,0
2018/07/11 - 02:43:21.7855138,62.74519,0.02969636,-0.0491598,-0.06433994,8.716003,35.7924,359.9788,0.2805205,-0.4531815,0.1513569,18.09444,40.28654,351.3134,1,0
2018/07/11 - 02:43:21.8074555,62.7645,0.03121767,-0.04891267,-0.06618159,8.570347,36.56941,359.8534,0.2851363,-0.4502283,0.1490529,17.14976,41.43078,351.6623,1,0
2018/07/11 - 02:43:21.8293966,62.78643,0.03236217,-0.04854999,-0.06787775,8.456922,37.42641,359.6424,0.2897816,-0.4475858,0.1473149,16.6428,42.16931,351.8514,1,0
2018/07/11 - 02:43:21.8513383,62.80942,0.0335498,-0.04817493,-0.06982025,8.339818,38.18951,359.5819,0.29566,-0.4452182,0.1457919,16.54438,43.57963,351.2131,1,0
2018/07/11 - 02:43:21.8832538,62.83135,0.03451096,-0.04762916,-0.0718229,8.120953,38.75556,359.4689,0.2998556,-0.44212,0.1443895,15.74776,44.37465,351.1713,1,0
2018/07/11 - 02:43:21.8977482,62.86283,0.03528937,-0.04705598,-0.07341319,7.840026,39.32367,359.3314,0.302556,-0.4384856,0.1436497,15.13045,43.89828,350.5363,1,0
2018/07/11 - 02:43:21.9186923,62.87778,0.03586733,-0.04630766,-0.07503611,7.424614,39.43503,359.3224,0.3047194,-0.4340498,0.1454098,14.0037,43.70022,350.5728,1,0
2018/07/11 - 02:43:21.9416313,62.8984,0.03612459,-0.0454374,-0.07624152,6.805121,39.13854,359.1298,0.3051625,-0.4284955,0.1492373,12.17064,43.69978,350.8513,1,0
2018/07/11 - 02:43:21.9645876,62.9211,0.03588354,-0.04426338,-0.07713812,6.195592,38.55301,359.0297,0.3008974,-0.4220153,0.1502399,10.21149,43.26704,351.7307,1,0
2018/07/11 - 02:43:21.9870405,62.94394,0.03538772,-0.04275194,-0.07782223,5.304738,37.42822,358.8986,0.293377,-0.4150451,0.1524645,9.575136,40.78716,350.9973,1,0
2018/07/11 - 02:43:22.0090061,62.96653,0.03438034,-0.04061132,-0.07797311,3.78653,35.68985,358.7589,0.2843633,-0.4072613,0.1546989,9.087302,37.17506,348.9064,1,0
