Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 11:04:20.1210391,45.41367,0.03526386,-0.03632449,-0.1287747,8.33456,2.789005,359.5764,0.09985354,-0.4177993,0.03457971,356.3092,3.653612,354.8936,0,0
2018/07/10 - 11:04:20.1310119,45.42513,0.03522966,-0.03631108,-0.1288161,8.355437,2.769885,359.5783,0.09978663,-0.4177162,0.03460784,356.2515,3.563945,354.8666,0,0
2018/07/10 - 11:04:20.1419829,45.43626,0.03520615,-0.03633588,-0.128833,8.350639,2.772851,359.5896,0.09976892,-0.4176548,0.03469269,356.177,3.484384,354.8112,0,0
2018/07/10 - 11:04:20.1539509,45.44722,0.03517673,-0.03634831,-0.1288511,8.357043,2.764092,359.5974,0.09987289,-0.4176022,0.0348381,356.1485,3.428289,354.6378,0,0
2018/07/10 - 11:04:20.1649216,45.459,0.03516029,-0.03637592,-0.128874,8.359155,2.751158,359.6032,0.1001696,-0.4176065,0.03515844,356.2676,3.407013,354.2998,0,0
2018/07/10 - 11:04:20.1758926,45.46962,0.03516015,-0.03641991,-0.1289081,8.360001,2.734718,359.634,0.1005585,-0.4176365,0.03559138,356.5222,3.403295,353.9211,0,0
2018/07/10 - 11:04:20.1868710,45.48064,0.03513634,-0.03642339,-0.1289345,8.370604,2.733236,359.6066,0.1010703,-0.417685,0.03616919,356.9429,3.468305,353.4982,0,0
2018/07/10 - 11:04:20.1978337,45.49191,0.03514028,-0.03645927,-0.1289641,8.369126,2.718002,359.6044,0.101565,-0.417702,0.03673804,357.3015,3.574349,353.1446,0,0
2018/07/10 - 11:04:20.2088042,45.50288,0.03516586,-0.0364789,-0.1289933,8.381371,2.698081,359.6017,0.101958,-0.4176692,0.03720481,357.4323,3.780157,353.0325,0,0
2018/07/10 - 11:04:20.2197752,45.5137,0.03518233,-0.03649668,-0.1290388,8.392762,2.685633,359.5847,0.1021949,-0.4176293,0.03752434,357.3898,4.05622,353.156,0,0
2018/07/10 - 11:04:20.2307564,45.5246,0.03518502,-0.03650659,-0.1290762,8.400673,2.686136,359.5685,0.1022661,-0.4175541,0.0377459,357.1957,4.36982,353.439,0,0
2018/07/10 - 11:04:20.2427147,45.53606,0.03520183,-0.03650994,-0.1291131,8.405837,2.678965,359.5545,0.1023432,-0.4175664,0.03795201,356.9846,4.530063,353.5067,0,0
2018/07/10 - 11:04:20.2526867,45.54748,0.03522988,-0.03650301,-0.1291633,8.415407,2.676683,359.5478,0.1025304,-0.4177071,0.03828912,356.9752,4.467251,353.2331,0,0
2018/07/10 - 11:04:20.2646604,45.55803,0.03524571,-0.03650898,-0.1292117,8.403296,2.68403,359.5382,0.1028476,-0.4181331,0.03883728,357.2926,4.103892,352.4794,0,0
2018/07/10 - 11:04:20.2756308,45.56916,0.03527042,-0.03649321,-0.1292863,8.418013,2.693429,359.5482,0.103109,-0.4187346,0.03945296,357.6942,3.693488,351.7791,0,0
2018/07/10 - 11:04:20.2866015,45.58044,0.03528739,-0.03649382,-0.1293677,8.414995,2.700695,359.5409,0.1029223,-0.4193709,0.03981001,357.7776,3.460448,351.872,0,0
2018/07/10 - 11:04:20.2975719,45.59136,0.03530883,-0.03648367,-0.1294544,8.419528,2.714963,359.5305,0.1023443,-0.4197183,0.03965306,357.2554,3.631118,352.8935,0,0
2018/07/10 - 11:04:20.3085426,45.60248,0.03534227,-0.03649614,-0.1295645,8.394765,2.762028,359.5276,0.1014113,-0.4197257,0.03906937,356.213,4.273712,354.6457,0,0
2018/07/10 - 11:04:20.3195134,45.61354,0.03535593,-0.03647299,-0.129615,8.404108,2.755105,359.5053,0.1005579,-0.4194191,0.03844744,355.2223,4.979541,356.1073,0,0
2018/07/10 - 11:04:20.3304846,45.62441,0.03537838,-0.03647384,-0.1296621,8.378609,2.756336,359.4877,0.09997109,-0.4189623,0.03791285,354.5311,5.278989,356.82,0,0
2018/07/10 - 11:04:20.3424623,45.63584,0.03539163,-0.03648327,-0.1296822,8.368506,2.763005,359.5014,0.09968798,-0.4183639,0.03734446,354.1193,4.943759,356.6208,0,0
2018/07/10 - 11:04:20.3534236,45.64713,0.03539847,-0.03649022,-0.1296894,8.363617,2.750124,359.4941,0.09954377,-0.4179569,0.03691244,353.8778,4.314481,356.0527,0,0
2018/07/10 - 11:04:20.3644145,45.65847,0.03542327,-0.03651299,-0.1297237,8.381609,2.737091,359.4916,0.09950697,-0.4177947,0.03681724,353.8454,3.538488,355.2762,0,0
2018/07/10 - 11:04:20.3753633,45.66949,0.03545504,-0.03655006,-0.1297706,8.421067,2.721408,359.4936,0.09948367,-0.4178436,0.03704959,353.9044,2.991696,354.8093,0,0
2018/07/10 - 11:04:20.3873361,45.68051,0.03547923,-0.03660205,-0.1298342,8.448688,2.730512,359.5001,0.09958472,-0.4181336,0.03774139,354.2006,2.667978,354.5473,0,0
2018/07/10 - 11:04:20.3983222,45.69171,0.03551701,-0.03663661,-0.1299045,8.488213,2.748142,359.5134,0.09975407,-0.4184719,0.03850855,354.4383,2.580221,354.4904,0,0
2018/07/10 - 11:04:20.4092730,45.70269,0.03555696,-0.03665448,-0.1299445,8.504801,2.750034,359.5079,0.1000128,-0.4187672,0.03933848,354.4947,2.87009,354.6882,0,0
2018/07/10 - 11:04:20.4202445,45.71426,0.03559206,-0.03665837,-0.1300036,8.532988,2.770872,359.5214,0.1002806,-0.4188842,0.03989197,354.1689,3.405892,354.9998,0,0
2018/07/10 - 11:04:20.4312144,45.72506,0.03559552,-0.03666616,-0.1300376,8.531136,2.805311,359.5335,0.1005411,-0.4189885,0.04036076,353.8668,3.890818,355.3114,0,0
2018/07/10 - 11:04:20.4421848,45.73647,0.03561712,-0.03665022,-0.1300859,8.529351,2.82612,359.555,0.1007778,-0.4190389,0.04077502,353.6689,4.29213,355.6298,0,0
2018/07/10 - 11:04:20.4531683,45.74734,0.03562158,-0.03664399,-0.1301122,8.513137,2.820086,359.55,0.1010825,-0.4189729,0.04104383,353.5538,4.526463,355.774,0,0
2018/07/10 - 11:04:20.4641265,45.75811,0.03560884,-0.03661502,-0.1301496,8.504733,2.833594,359.548,0.1015064,-0.418741,0.04120767,353.5039,4.585726,355.5804,0,0
2018/07/10 - 11:04:20.4750967,45.76916,0.03559049,-0.03657921,-0.1301818,8.489899,2.834999,359.5388,0.101952,-0.4184676,0.04131312,353.461,4.587473,355.2609,0,0
2018/07/10 - 11:04:20.4870644,45.78057,0.03552213,-0.03653777,-0.1301811,8.439052,2.826547,359.5305,0.1023087,-0.4182012,0.04132251,353.4741,4.510676,354.9258,0,0
2018/07/10 - 11:04:20.4980356,45.79151,0.03545976,-0.03651651,-0.1301604,8.391434,2.793824,359.557,0.1024105,-0.4179044,0.04124479,353.4853,4.281192,354.7456,0,0
2018/07/10 - 11:04:20.5090066,45.80248,0.03537621,-0.03647136,-0.1301368,8.38996,2.744869,359.5453,0.1022563,-0.4175886,0.0411574,353.3671,4.050037,354.7132,0,0
