Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:59:58.556411,156.4091,14,14,User hit user's target,1.146511,0.2912995,-0.666308,8.238187,37.7216,4.831427,1.48863,-0.1796024,-0.3622256,15.11832,48.62074,7.263052
2018/06/21 - 03:59:59.712412,157.565,15,14,User hit user's target,1.081616,0.3232826,-0.7065708,352.3541,356.1166,1.700475,1.116091,-0.09378421,-0.3320373,358.6789,347.5533,5.694722
2018/06/21 - 03:59:59.778237,157.632,15,15,Peer hit peer's target,1.080411,0.3236722,-0.7040241,352.1503,355.3182,1.470619,1.119167,-0.107636,-0.3285545,0.8123571,350.4496,3.51229
2018/06/21 - 03:59:59.858023,157.7101,15,16,Peer hit peer's target,1.079666,0.323998,-0.7003437,352.5042,354.1165,1.353635,1.121234,-0.1149454,-0.3267435,0.6013077,352.6922,4.180365
2018/06/21 - 04:00:01.034539,158.8868,16,16,User hit user's target,1.100249,0.3227925,-0.6848319,353.5513,14.88823,359.3871,1.315728,-0.01803476,-0.2767577,354.0003,22.49303,353.6284
2018/06/21 - 04:00:01.356667,159.209,16,17,Peer hit peer's target,1.108514,0.3165522,-0.6836886,358.2938,8.013583,359.4584,1.284794,-0.04875416,-0.3122258,358.4445,13.08404,354.9686
2018/06/21 - 04:00:04.057190,161.9096,17,16,Peer hit user's target,1.025853,0.312817,-0.712073,5.366522,293.6244,8.03452,0.8627357,-0.06050274,-0.5007129,352.8762,292.3324,355.0757
2018/06/21 - 04:00:05.545897,163.3986,17,17,Peer hit peer's target,1.058367,0.3258279,-0.721128,354.8398,242.813,2.405547,0.792778,-0.07694011,-0.7464205,357.3018,241.2813,355.9637
2018/06/21 - 04:00:06.679404,164.5321,18,17,User hit user's target,1.043988,0.3111971,-0.646401,2.726739,332.6485,358.7348,0.9047227,-0.02175071,-0.2279567,352.5414,335.912,0.06079596
2018/06/21 - 04:00:08.434673,166.2871,18,18,Peer hit peer's target,1.106053,0.2651107,-0.7883884,24.46553,186.1936,352.1502,1.023834,-0.1710065,-0.8285838,28.27584,168.1331,350.1716
2018/06/21 - 04:00:08.558334,166.4112,19,18,User hit user's target,1.122239,0.258967,-0.7907338,25.11817,176.3934,349.6535,1.047636,-0.1534535,-0.8375809,28.6943,157.5673,351.783
2018/06/21 - 04:00:09.845877,167.6994,19,19,Peer hit peer's target,1.087559,0.3407312,-0.677433,340.6836,162.9343,359.5899,1.055837,0.03995359,-0.8385868,344.0017,140.2879,355.0933
2018/06/21 - 04:00:09.901727,167.7552,19,20,Peer hit peer's target,1.089453,0.3389695,-0.6783134,341.6294,161.2715,359.901,1.06059,0.0363671,-0.8370152,344.4062,138.9133,355.2947
2018/06/21 - 04:00:12.279585,170.1322,18,20,User missed,1.109751,0.3069353,-0.7320778,4.582167,192.9907,358.0978,0.9441622,-0.07686529,-0.9416159,9.545801,189.9629,0.6536286
2018/06/21 - 04:00:12.623642,170.4767,19,20,User hit user's target,1.069238,0.3049349,-0.7088452,5.457196,222.211,355.7751,0.8229061,-0.1152141,-0.9147552,15.03345,211.2432,357.7971
2018/06/21 - 04:00:13.045559,170.8989,19,21,Peer hit peer's target,1.052079,0.2992831,-0.7012337,8.540642,252.209,356.1646,0.7175536,-0.1277903,-0.7598147,15.96963,246.7621,0.3801959
2018/06/21 - 04:00:13.246021,171.0988,18,21,User missed,1.050753,0.2952435,-0.700056,10.85307,266.9834,357.3347,0.7170699,-0.1974406,-0.6824546,25.05508,259.7313,4.652185
2018/06/21 - 04:00:13.513338,171.3657,19,21,User hit user's target,1.052695,0.2923864,-0.6980894,11.3024,283.7267,358.735,0.7135439,-0.2006094,-0.5708582,19.953,280.8325,7.316481
2018/06/21 - 04:00:14.357702,172.2101,20,21,User hit user's target,1.086506,0.3352125,-0.7228968,341.8575,327.9529,356.4039,0.8821687,0.1556425,-0.3148427,335.2305,325.4765,0.6968026
2018/06/21 - 04:00:15.623962,173.4771,20,22,Peer hit peer's target,1.111424,0.3502691,-0.7880366,331.7683,25.7153,356.2332,1.345377,0.09895912,-0.4514064,340.5229,22.66122,356.4094
2018/06/21 - 04:00:15.725338,173.578,20,23,Peer hit peer's target,1.098656,0.3531351,-0.8016384,326.8741,23.46373,356.5513,1.306444,0.1360717,-0.4784429,332.0714,18.26974,357.4044
2018/06/21 - 04:00:16.413510,174.2661,21,23,User hit user's target,1.028707,0.3340559,-0.786567,341.4405,332.5175,13.57226,1.005553,0.09298532,-0.5076511,333.0212,326.1893,4.444954
2018/06/21 - 04:00:17.524152,175.3773,22,23,User hit user's target,1.070298,0.3444358,-0.721625,338.3833,305.6331,359.7215,0.8969036,0.07310554,-0.4858229,333.6875,300.8433,359.1108
2018/06/21 - 04:00:18.047736,175.8995,23,23,User hit user's target,1.093203,0.3501621,-0.695517,332.8958,309.4464,352.5606,0.8879219,0.05831566,-0.4966078,339.4194,297.6213,357.9896
2018/06/21 - 04:00:18.391816,176.244,23,24,Peer hit peer's target,1.085404,0.3460912,-0.6917949,337.371,308.8622,353.3771,0.9023992,0.004167568,-0.4577216,348.0068,304.1277,357.4734
2018/06/21 - 04:00:18.448666,176.3005,23,25,Peer hit peer's target,1.081979,0.3450292,-0.6922788,338.301,306.6543,354.1803,0.9028787,-0.0003690689,-0.4643018,347.9071,302.6434,357.5478
2018/06/21 - 04:00:19.490868,177.3436,24,25,User hit user's target,1.062387,0.3263215,-0.6710386,352.7513,313.9202,352.6587,0.8906536,-0.01953779,-0.4083415,347.9308,312.7777,4.372533
2018/06/21 - 04:00:19.780093,177.6327,24,26,Peer hit peer's target,1.079187,0.3303074,-0.6719537,350.9842,329.6575,352.1259,0.9395323,-0.009245915,-0.3684935,346.9885,323.8605,2.873072
2018/06/21 - 04:00:20.113332,177.9659,25,26,User hit user's target,1.074468,0.3269895,-0.6835196,353.9626,326.4149,354.3918,0.9074923,-0.09302706,-0.4126498,1.494805,317.7918,4.17717
2018/06/21 - 04:00:20.303809,178.1556,26,25,Peer hit user's target,1.070328,0.3264071,-0.6857131,354.5039,322.3634,353.9293,0.888855,-0.09846555,-0.4302971,2.86534,313.6946,3.784421
2018/06/21 - 04:00:22.278600,180.1315,27,25,User hit user's target,1.073367,0.3240285,-0.6959682,355.6033,320.6201,357.3719,0.936686,-0.1304939,-0.4507545,3.27337,313.8655,1.95008
2018/06/21 - 04:00:22.757305,180.6097,27,24,Peer missed,1.085799,0.3351478,-0.6791924,346.6143,326.4262,354.809,0.9620355,-0.04001662,-0.4141055,346.072,325.1221,356.6407
2018/06/21 - 04:00:23.014653,180.8661,28,24,User hit user's target,1.105133,0.3419704,-0.6814119,341.5947,337.4611,351.8389,1.01114,0.02272905,-0.3911622,334.8304,332.7174,356.067
2018/06/21 - 04:00:24.014619,181.8662,28,25,Peer hit peer's target,1.081978,0.3399466,-0.711797,343.4115,323.1136,0.3728077,0.9988215,-0.01928238,-0.4398271,346.3681,319.9297,355.3891
2018/06/21 - 04:00:24.258946,182.1116,29,25,User hit user's target,1.081091,0.3398612,-0.710015,343.3398,320.9124,359.5945,0.98965,0.008443495,-0.4502651,338.8812,317.5449,355.5979
