Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:44:12.5320454,135.4139,0.2315136,-0.05905997,-0.2577276,0.4661738,354.3563,2.926951,0.3381445,-0.6716556,-0.1094169,316.655,352.9287,2.059549,0,0
2018/07/10 - 10:44:12.5440265,135.4253,0.2314731,-0.05904173,-0.2577416,0.4563302,354.3534,2.922829,0.3381443,-0.6716542,-0.1094165,316.6615,352.9352,2.053205,0,0
2018/07/10 - 10:44:12.5550060,135.4369,0.2314397,-0.05901036,-0.2577475,0.4443674,354.3485,2.938347,0.3381445,-0.6716554,-0.1094168,316.6564,352.9325,2.055252,0,0
2018/07/10 - 10:44:12.5659540,135.4475,0.2314041,-0.05897927,-0.2577646,0.4437528,354.3549,2.936189,0.3381439,-0.6716591,-0.1094184,316.6387,352.9193,2.073091,0,0
2018/07/10 - 10:44:12.5779455,135.4588,0.2313963,-0.05897467,-0.2577773,0.4228954,354.3386,2.931652,0.3381429,-0.6716629,-0.1094201,316.6209,352.9091,2.089312,0,0
2018/07/10 - 10:44:12.5868984,135.4703,0.2313858,-0.05895622,-0.2578096,0.4324355,354.351,2.930174,0.3381418,-0.6716642,-0.1094208,316.6154,352.9115,2.09191,0,0
2018/07/10 - 10:44:12.5998835,135.4809,0.231377,-0.05895398,-0.2578361,0.4240234,354.3492,2.922174,0.3381408,-0.6716639,-0.1094209,316.6165,352.9162,2.09158,0,0
2018/07/10 - 10:44:12.6098385,135.4921,0.2313643,-0.05894158,-0.2578571,0.4219162,354.3562,2.922338,0.3381389,-0.6716581,-0.1094192,316.6417,352.9254,2.089615,0,0
2018/07/10 - 10:44:12.6208072,135.5029,0.2313525,-0.05893977,-0.2578725,0.4133068,354.356,2.92377,0.338138,-0.6716551,-0.1094183,316.6552,352.9337,2.083893,0,0
2018/07/10 - 10:44:12.6327758,135.5139,0.2313565,-0.05892699,-0.2579133,0.4106928,354.3542,2.925983,0.3381375,-0.6716505,-0.1094167,316.6748,352.933,2.086049,0,0
