Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/07/02 - 12:31:12.3176494,1.021383,-0.006640637,0.001814423,-0.074871,6.042604,340.9363,1.124498,0.03786406,-0.3782047,0.1355103,343.2343,342.0456,358.8999
2018/07/02 - 12:31:12.3296165,1.032321,-0.006490513,0.002018231,-0.07462361,5.97153,340.9831,1.008161,0.03775304,-0.3783769,0.1357871,343.0685,342.2391,359.1799
2018/07/02 - 12:31:12.3396044,1.043539,-0.006354502,0.002131817,-0.07438803,5.902885,341.1024,0.9566636,0.03790234,-0.3784192,0.1361266,343.1214,342.4534,359.0802
2018/07/02 - 12:31:12.3515576,1.054714,-0.006088277,0.002227968,-0.07415778,5.856512,341.2038,0.9635051,0.03803113,-0.3783756,0.1364693,343.2813,342.5976,358.8079
2018/07/02 - 12:31:12.3615308,1.06558,-0.005871973,0.00227962,-0.0739409,5.76039,341.3441,0.8853961,0.03824388,-0.3781905,0.1368702,343.6015,342.6395,358.267
2018/07/02 - 12:31:12.3744974,1.076843,-0.005615464,0.002359579,-0.07371296,5.626926,341.4922,0.7957448,0.0384034,-0.3779955,0.1372259,343.8378,342.6053,357.8366
2018/07/02 - 12:31:12.3844717,1.088265,-0.005383851,0.002478462,-0.07350118,5.489274,341.6908,0.6931351,0.03867827,-0.3776767,0.1374809,343.956,342.4982,357.4398
2018/07/02 - 12:31:12.3954410,1.098686,-0.005068085,0.002663475,-0.0733447,5.428464,341.8955,0.622533,0.03895093,-0.3773389,0.1377615,343.9333,342.5568,357.2496
2018/07/02 - 12:31:12.4074096,1.110137,-0.004697349,0.002707525,-0.07316712,5.295501,342.1821,0.6845597,0.03932661,-0.3769378,0.1380194,343.7719,342.7751,357.2113
2018/07/02 - 12:31:12.4187884,1.121101,-0.004337845,0.002815916,-0.07289361,5.195907,342.4496,0.6073341,0.03974419,-0.3765452,0.1382965,343.5323,343.0731,357.3361
2018/07/02 - 12:31:12.4297606,1.133276,-0.003930536,0.002966501,-0.07267234,5.137614,342.7329,0.5279185,0.04015121,-0.3761638,0.1386122,343.3317,343.3289,357.5012
2018/07/02 - 12:31:12.4397554,1.143422,-0.003455195,0.003103886,-0.07244784,5.077598,343.0957,0.5319915,0.04059815,-0.3757815,0.1389543,343.1507,343.5844,357.6532
2018/07/02 - 12:31:12.4517020,1.154278,-0.002940107,0.003186395,-0.07223916,4.974996,343.4923,0.5366008,0.0410707,-0.3753786,0.1393083,342.9845,343.7873,357.7483
2018/07/02 - 12:31:12.4616754,1.165343,-0.002377865,0.003343915,-0.07203048,4.911044,343.9177,0.512277,0.04167753,-0.3748677,0.1396782,342.8478,343.9395,357.7813
2018/07/02 - 12:31:12.4736423,1.176498,-0.001799494,0.003479729,-0.07185847,4.830244,344.381,0.4942474,0.04238481,-0.3743244,0.1400616,342.7359,344.0998,357.7154
2018/07/02 - 12:31:12.4846141,1.187832,-0.00116102,0.003549892,-0.07166167,4.659736,344.9106,0.4954412,0.04331088,-0.3736831,0.1404516,342.6449,344.2886,357.5077
2018/07/02 - 12:31:12.4955828,1.198726,-0.0004957542,0.003731827,-0.07149526,4.580046,345.4832,0.4732182,0.04434001,-0.3729282,0.1408768,342.4849,344.5167,357.2907
2018/07/02 - 12:31:12.5065544,1.209906,0.0001509227,0.003905489,-0.07132576,4.498892,346.1671,0.4452471,0.04548725,-0.3720831,0.1413196,342.2245,344.8218,357.0763
2018/07/02 - 12:31:12.5176636,1.221104,0.0008935453,0.004040399,-0.07109211,4.414365,346.8339,0.4815288,0.04660296,-0.3712748,0.1417885,341.9686,345.1349,356.9383
2018/07/02 - 12:31:12.5286349,1.232233,0.001734897,0.004138764,-0.07094005,4.340158,347.4578,0.4977188,0.04777028,-0.370503,0.1422749,341.7205,345.4237,356.9264
2018/07/02 - 12:31:12.5396048,1.243269,0.002552624,0.004152014,-0.07079051,4.220126,348.1618,0.5342326,0.04887455,-0.3697648,0.1427964,341.465,345.7077,357.0063
2018/07/02 - 12:31:12.5515935,1.254631,0.003382403,0.004261163,-0.07073061,4.207733,348.8627,0.5308822,0.05001215,-0.3690619,0.1431987,341.1638,346.006,357.0979
2018/07/02 - 12:31:12.5615570,1.265802,0.004317255,0.004238812,-0.07068059,4.1817,349.581,0.679382,0.05124965,-0.3683994,0.1434787,340.807,346.3394,357.1908
2018/07/02 - 12:31:12.5745382,1.276666,0.005259953,0.004282756,-0.07068186,4.214732,350.2245,0.6387488,0.05251122,-0.367752,0.1437337,340.4478,346.6904,357.2463
2018/07/02 - 12:31:12.5854818,1.288386,0.006132805,0.004265133,-0.07062003,4.196283,350.9599,0.6336975,0.05378814,-0.3670853,0.1439701,340.0862,347.0311,357.2982
