Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:44:37.2251955,0.6327617,-0.009360536,0.007327324,-0.02510539,355.7497,45.13667,1.077197,0.1321892,-0.3231981,0.2027824,341.5329,46.87922,21.21752
2018/06/29 - 02:44:37.2361440,0.6447049,-0.00980477,0.008551201,-0.02536827,354.7,45.26855,1.133341,0.1326881,-0.3208795,0.2011939,340.5576,47.31612,20.50005
2018/06/29 - 02:44:37.2471324,0.6551893,-0.01045803,0.009687099,-0.02557316,353.8113,45.24427,1.12607,0.132997,-0.3185459,0.1998577,339.5645,47.57265,19.8999
2018/06/29 - 02:44:37.2580846,0.6666549,-0.01111588,0.0106814,-0.02577179,353.029,45.12814,1.090001,0.1331516,-0.3162292,0.198964,338.5205,47.68377,19.31846
2018/06/29 - 02:44:37.2690559,0.6772283,-0.01191188,0.01148279,-0.02592023,352.3891,44.88445,1.024344,0.1334589,-0.3139699,0.1984174,337.7121,47.62553,18.7204
2018/06/29 - 02:44:37.2810483,0.6882934,-0.01264478,0.01219741,-0.02594268,351.7893,44.64064,0.968742,0.133727,-0.3116916,0.1985167,337.2079,47.08252,18.23149
2018/06/29 - 02:44:37.2920147,0.6996686,-0.01344252,0.01280063,-0.02601194,351.356,44.2463,0.9553174,0.1338355,-0.309449,0.1987553,336.7251,46.55521,17.953
2018/06/29 - 02:44:37.3019674,0.7108467,-0.01414343,0.01337354,-0.0258988,350.8194,43.83734,1.020091,0.1336649,-0.3072775,0.199383,336.293,46.10844,17.97035
2018/06/29 - 02:44:37.3139354,0.7215304,-0.01493923,0.01395552,-0.02576918,350.4153,43.2274,1.122494,0.1333895,-0.3052297,0.2001715,336.0237,45.82391,18.08808
2018/06/29 - 02:44:37.3239080,0.7327027,-0.01566357,0.01440279,-0.02556235,350.0421,42.50243,1.312721,0.1330693,-0.303285,0.2010748,335.897,45.49023,18.24255
2018/06/29 - 02:44:37.3368741,0.7439932,-0.01636994,0.01482307,-0.02525042,349.7048,41.73207,1.45158,0.1325111,-0.3015622,0.2022967,335.9633,45.07573,18.49349
2018/06/29 - 02:44:37.3468464,0.7555163,-0.01711119,0.01511529,-0.0248582,349.3999,40.89521,1.529623,0.1319106,-0.2999473,0.2035479,336.0494,44.67739,18.67038
2018/06/29 - 02:44:37.3578296,0.766188,-0.01779045,0.01546837,-0.02455502,349.0759,40.0266,1.669251,0.1311985,-0.298532,0.2051026,336.2849,44.11863,18.82395
2018/06/29 - 02:44:37.3697868,0.7769175,-0.01848499,0.01579962,-0.02428833,348.7227,39.08223,1.813542,0.1303391,-0.2971886,0.2068122,336.55,43.23959,19.05036
2018/06/29 - 02:44:37.3797596,0.788586,-0.01907787,0.01608711,-0.02405005,348.3594,38.13305,2.070811,0.1290499,-0.2961143,0.2086557,336.8049,42.08413,19.37931
2018/06/29 - 02:44:37.3917279,0.79977,-0.01972435,0.01633507,-0.02381476,348.055,37.15346,2.297053,0.1274466,-0.2951155,0.2105351,337.0313,41.0041,19.69827
2018/06/29 - 02:44:37.4026969,0.8108084,-0.02043495,0.01657094,-0.02361378,347.9047,36.09377,2.513527,0.1256547,-0.2941955,0.2123826,337.1747,40.11313,20.06164
2018/06/29 - 02:44:37.4136685,0.8221796,-0.02110954,0.01675123,-0.02335828,347.7554,34.99435,2.6888,0.1235679,-0.2935776,0.2141739,337.2395,39.32307,20.44571
2018/06/29 - 02:44:37.4256404,0.8330314,-0.02176413,0.01683662,-0.02329785,347.7133,33.8101,2.968659,0.121638,-0.2931374,0.2159913,337.4025,38.61662,20.58023
2018/06/29 - 02:44:37.4366069,0.8456752,-0.02241339,0.01694651,-0.0230493,347.6739,32.65642,3.151317,0.1197138,-0.2929775,0.2179749,337.7299,37.78209,20.51685
2018/06/29 - 02:44:37.4465797,0.855156,-0.02300117,0.01701745,-0.02282422,347.6758,31.50121,3.414981,0.1176647,-0.2929084,0.2201579,338.1319,36.73267,20.55145
2018/06/29 - 02:44:37.4585477,0.8658602,-0.02352564,0.0170034,-0.02268717,347.699,30.18095,3.641198,0.1153489,-0.2931521,0.2225694,338.6901,35.47528,20.71996
2018/06/29 - 02:44:37.4715129,0.8771446,-0.02449441,0.01704002,-0.02195232,347.7715,27.74652,4.08056,0.1108034,-0.2935396,0.2273809,339.8269,33.03981,21.03226
2018/06/29 - 02:44:37.4814872,0.8899384,-0.02461457,0.01680193,-0.0222993,347.9255,27.65274,4.073001,0.1104268,-0.2941676,0.2275577,340.0463,32.95342,20.96027
2018/06/29 - 02:44:37.4934544,0.9011002,-0.02508124,0.01661952,-0.02197015,348.0811,26.30379,4.262908,0.1079939,-0.2948533,0.2298755,340.6745,32.12719,20.84784
