Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:,User points:,Peer points:
2018/07/10 - 10:33:49.3188039,0.3996474,-0.006672787,-0.03937223,-0.1440519,8.654771,20.82924,1.043171,0.1174711,-0.65377,-0.01886673,357.2818,355.1806,40.56267,0,0
2018/07/10 - 10:33:49.3307915,0.4108778,-0.00670691,-0.03933692,-0.1440467,8.626888,20.78995,1.039571,0.117765,-0.6534953,-0.01870422,357.6942,355.8156,38.57071,0,0
2018/07/10 - 10:33:49.3417418,0.4218639,-0.006753086,-0.03928201,-0.1440019,8.60843,20.75981,1.030692,0.1181262,-0.653205,-0.01854237,358.1007,356.4591,36.28444,0,0
2018/07/10 - 10:33:49.3537365,0.4333932,-0.006779967,-0.03919562,-0.1439158,8.574271,20.62378,0.9906639,0.1185324,-0.6529437,-0.01842587,358.3106,357.0683,33.86472,0,0
2018/07/10 - 10:33:49.3636846,0.4445036,-0.00682578,-0.03923072,-0.1437574,8.511165,20.6001,0.9842866,0.1190373,-0.6527252,-0.01841016,358.0422,357.6825,31.03692,0,0
2018/07/10 - 10:33:49.3756526,0.4556381,-0.006850524,-0.03921639,-0.1435746,8.497272,20.47713,0.9864579,0.1195495,-0.6524936,-0.01833272,358.0237,358.6139,28.039,0,0
2018/07/10 - 10:33:49.3856377,0.4666612,-0.006894969,-0.03920712,-0.1433925,8.522009,20.36539,0.988158,0.1200323,-0.65222,-0.01811742,358.6279,359.9413,25.01564,0,0
2018/07/10 - 10:33:49.3985958,0.4778813,-0.007006299,-0.03923961,-0.1431344,8.530462,20.18758,0.9164246,0.1205223,-0.651995,-0.01794339,359.2393,0.8275207,22.27067,0,0
2018/07/10 - 10:33:49.4085693,0.489112,-0.007043856,-0.03924801,-0.1429871,8.583317,20.00833,0.9419793,0.1210496,-0.6518266,-0.01784468,359.6334,1.36251,19.57994,0,0
2018/07/10 - 10:33:49.4195386,0.5001308,-0.007124172,-0.03931569,-0.1428387,8.602548,19.80402,0.901238,0.1216107,-0.6516916,-0.01777342,359.9708,1.717705,16.85492,0,0
2018/07/10 - 10:33:49.4315316,0.5110654,-0.007220195,-0.03935829,-0.1427208,8.649639,19.64452,0.8984223,0.1221518,-0.6516063,-0.0177446,0.1519388,1.953628,14.2948,0,0
2018/07/10 - 10:33:49.4415053,0.5225506,-0.007235066,-0.03944632,-0.1426381,8.671556,19.4366,0.9082164,0.1225946,-0.6515828,-0.01777885,0.05347876,2.167454,12.18932,0,0
2018/07/10 - 10:33:49.4524518,0.5333069,-0.00731051,-0.03951175,-0.1425374,8.704553,19.32274,0.9533987,0.1229379,-0.6515782,-0.0178115,359.9538,2.599331,10.42457,0,0
2018/07/10 - 10:33:49.4644201,0.5439917,-0.007449177,-0.03948797,-0.1424449,8.765086,19.23304,0.8850926,0.1231429,-0.651569,-0.01780911,0.002314474,3.392966,9.107285,0,0
2018/07/10 - 10:33:49.4753891,0.5558345,-0.00748475,-0.03944913,-0.1424111,8.817207,19.1137,0.8634086,0.1233361,-0.6515577,-0.01779567,0.130743,4.347048,7.767944,0,0
2018/07/10 - 10:33:49.4873585,0.5666476,-0.007434711,-0.03947838,-0.1424224,8.778453,19.00591,0.8700716,0.1235279,-0.6515593,-0.01780216,0.2141012,5.473846,6.344556,0,0
2018/07/10 - 10:33:49.4973541,0.5781323,-0.007441479,-0.03941434,-0.1424253,8.798262,18.98818,0.8686006,0.1237921,-0.651547,-0.0177726,0.5489997,6.706798,4.564677,0,0
2018/07/10 - 10:33:49.5092982,0.5889534,-0.007366266,-0.03938679,-0.1424767,8.74631,19.04239,0.8959375,0.1241256,-0.6515095,-0.01767422,1.298069,7.953982,2.520636,0,0
2018/07/10 - 10:33:49.5192722,0.6000946,-0.00732052,-0.03931187,-0.1425569,8.721459,19.01557,0.8406197,0.1244898,-0.6514782,-0.01756447,2.150927,8.894528,0.5138354,0,0
2018/07/10 - 10:33:49.5312405,0.6111919,-0.007209874,-0.0392711,-0.1426554,8.616043,19.00651,0.8349649,0.1248936,-0.651463,-0.0174561,3.011608,9.40305,358.5414,0,0
