Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
0.8396322,0,0,0,0,0,0,-0.1351241,-0.07395424,-0.01449667,356.6937,310.2689,17.97519
0.8453189,0,0,0,0,0,0,-0.1351173,-0.07387035,-0.0144387,356.5853,310.4268,17.76077
0.8519808,0,0,0,0,0,0,-0.1351118,-0.07378709,-0.01437756,356.4601,310.6022,17.55488
0.8577712,0,0,0,0,0,0,-0.1351067,-0.07370059,-0.01431151,356.3057,310.8028,17.35063
0.8646508,0,0,0,0,0,0,-0.1351104,-0.07363279,-0.01424327,356.1555,311.0251,17.20238
0.8709416,0,0,0,0,0,0,-0.1351296,-0.07358181,-0.01415796,356.0113,311.3141,17.10367
0.8772414,0,0,0,0,0,0,-0.1351685,-0.07356191,-0.01405968,355.9005,311.6569,17.08775
0.8837114,0,0,0,0,0,0,-0.1352271,-0.07358368,-0.01395798,355.8482,312.0201,17.17734
0.8899456,0,0,0,0,0,0,-0.1353001,-0.07362998,-0.01384708,355.8248,312.4186,17.33127
0.8972416,0,0,0,0,0,0,-0.1353802,-0.073712,-0.01375245,355.8558,312.7692,17.57347
0.9033833,0,0,0,0,0,0,-0.135459,-0.07380638,-0.01366972,355.8787,313.0921,17.85699
0.9094818,0,0,0,0,0,0,-0.1355146,-0.07388813,-0.01362399,355.8846,313.2936,18.10789
0.915652,0,0,0,0,0,0,-0.1355502,-0.07396153,-0.01361345,355.8988,313.3743,18.32908
0.9215963,0,0,0,0,0,0,-0.1355496,-0.07401133,-0.01366114,355.9286,313.2495,18.47067
0.9269472,0,0,0,0,0,0,-0.1355103,-0.07400685,-0.01374341,355.7925,313.0408,18.51305
0.9329098,0,0,0,0,0,0,-0.1354237,-0.07392263,-0.01385419,355.4554,312.7616,18.39167
0.9384204,0,0,0,0,0,0,-0.1353272,-0.0737871,-0.01393598,354.92,312.6132,18.19118
0.943717,0,0,0,0,0,0,-0.135205,-0.07360213,-0.01402128,354.3318,312.4406,17.85567
0.949188,0,0,0,0,0,0,-0.1350758,-0.07340183,-0.01410013,353.7656,312.2706,17.45948
0.9550914,0,0,0,0,0,0,-0.1349131,-0.07312068,-0.01416135,353.1043,312.1393,16.84291
0.9604437,0,0,0,0,0,0,-0.1347819,-0.07287979,-0.0141875,352.6305,312.0749,16.27184
0.9666176,0,0,0,0,0,0,-0.1346348,-0.07262187,-0.01421898,352.1526,311.9823,15.64279
0.9720937,0,0,0,0,0,0,-0.1345001,-0.07239799,-0.0142519,351.7466,311.8789,15.08805
0.9777735,0,0,0,0,0,0,-0.1343726,-0.07219695,-0.01428743,351.3792,311.7666,14.58667
0.9840111,0,0,0,0,0,0,-0.1342404,-0.07200766,-0.01433802,351.0607,311.5891,14.10028
0.9903049,0,0,0,0,0,0,-0.1341159,-0.07184841,-0.01440076,350.8496,311.3416,13.66663
0.99602,0,0,0,0,0,0,-0.1340022,-0.07171916,-0.01447154,350.7399,311.0394,13.28942
1.00149,0,0,0,0,0,0,-0.1339261,-0.07164522,-0.01453042,350.7305,310.7747,13.05273
1.008082,0,0,0,0,0,0,-0.1338802,-0.0716088,-0.01457422,350.7809,310.5649,12.91506
1.015576,0,0,0,0,0,0,-0.133846,-0.07159322,-0.01461892,350.8598,310.3564,12.83436
1.022516,0,0,0,0,0,0,-0.1338187,-0.07158175,-0.01465546,350.8733,310.2125,12.79184
1.028327,0,0,0,0,0,0,-0.1337902,-0.071555,-0.01467729,350.8486,310.1235,12.71403
1.033707,0,0,0,0,0,0,-0.1337646,-0.07151905,-0.01468388,350.8454,310.0669,12.59796
1.040266,0,0,0,0,0,0,-0.1337286,-0.07146367,-0.01468735,350.7881,310.029,12.43878
1.045685,0,0,0,0,0,0,-0.1336811,-0.07138896,-0.01468935,350.6499,310.0181,12.24666
1.052405,0,0,0,0,0,0,-0.1336198,-0.0712864,-0.014684,350.4872,310.0172,11.97162
1.06034,0,0,0,0,0,0,-0.1335473,-0.07113772,-0.01464482,350.2829,310.1085,11.55888
1.068154,0,0,0,0,0,0,-0.1334731,-0.07094433,-0.01455356,350.0351,310.3592,11.01156
1.074248,0,0,0,0,0,0,-0.1334092,-0.07075964,-0.01444866,349.8008,310.6604,10.48392
1.079749,0,0,0,0,0,0,-0.1333612,-0.07063284,-0.01438099,349.6141,310.8669,10.12888
1.086183,0,0,0,0,0,0,-0.1333129,-0.07052056,-0.01432923,349.4353,311.0292,9.817746
1.091466,0,0,0,0,0,0,-0.1332561,-0.07045671,-0.01435164,349.207,311.0102,9.68647
1.097039,0,0,0,0,0,0,-0.133198,-0.070417,-0.01440544,348.9814,310.9041,9.634713
1.105804,0,0,0,0,0,0,-0.1331356,-0.07038878,-0.01448021,348.7336,310.7479,9.62913
1.11263,0,0,0,0,0,0,-0.133047,-0.07035805,-0.01459591,348.3497,310.5191,9.663019
1.119787,0,0,0,0,0,0,-0.1329879,-0.07033008,-0.01466276,348.0837,310.4001,9.662911
1.125534,0,0,0,0,0,0,-0.1329522,-0.07030585,-0.01469356,347.9006,310.3677,9.645447
1.132241,0,0,0,0,0,0,-0.1329346,-0.07029185,-0.01470631,347.7795,310.3763,9.640614
1.138365,0,0,0,0,0,0,-0.1329385,-0.0702985,-0.01470775,347.7359,310.4037,9.678422
1.144059,0,0,0,0,0,0,-0.1329567,-0.07031849,-0.01470136,347.7423,310.4452,9.743926
1.149771,0,0,0,0,0,0,-0.1329731,-0.07033391,-0.01469249,347.6967,310.5206,9.812067
1.155738,0,0,0,0,0,0,-0.1329724,-0.07031559,-0.01467139,347.5112,310.685,9.814837
1.161173,0,0,0,0,0,0,-0.1329564,-0.07026598,-0.01463775,347.2665,310.8964,9.731492
1.166968,0,0,0,0,0,0,-0.1329121,-0.07012542,-0.01453869,346.6761,311.4554,9.45546
1.172886,0,0,0,0,0,0,-0.1328297,-0.06992733,-0.01442751,346.0036,312.058,9.002798
1.17939,0,0,0,0,0,0,-0.1327317,-0.06966687,-0.01425346,345.2373,312.9009,8.353865
1.186926,0,0,0,0,0,0,-0.1326184,-0.0693081,-0.01395427,344.419,314.1658,7.358952
1.192344,0,0,0,0,0,0,-0.1325367,-0.06904292,-0.0137117,343.9687,315.1004,6.558722
1.197924,0,0,0,0,0,0,-0.1324828,-0.06886054,-0.01353089,343.6966,315.7786,5.989067
1.20383,0,0,0,0,0,0,-0.1324453,-0.0687163,-0.01337205,343.4619,316.3929,5.539842
1.209994,0,0,0,0,0,0,-0.1324533,-0.0686622,-0.0132685,343.3073,316.8369,5.389963
1.216119,0,0,0,0,0,0,-0.1324762,-0.06866116,-0.01322242,343.2396,317.0565,5.406113
1.222142,0,0,0,0,0,0,-0.1325051,-0.06872091,-0.01326478,343.3112,316.9051,5.60118
1.227748,0,0,0,0,0,0,-0.1325321,-0.06877674,-0.01330338,343.3905,316.7592,5.779147
1.23332,0,0,0,0,0,0,-0.1325693,-0.06885272,-0.01335427,343.5399,316.5391,6.007997
1.239384,0,0,0,0,0,0,-0.1326117,-0.06893005,-0.01339607,343.7128,316.3394,6.233364
1.24566,0,0,0,0,0,0,-0.1326601,-0.06901843,-0.01344267,343.9295,316.1046,6.483366
1.251729,0,0,0,0,0,0,-0.1326967,-0.069084,-0.01347468,344.1321,315.9133,6.654821
1.257815,0,0,0,0,0,0,-0.1327289,-0.06913736,-0.01349574,344.3631,315.7335,6.772924
1.264271,0,0,0,0,0,0,-0.1327461,-0.06915748,-0.0134938,344.5827,315.6149,6.775807
1.269597,0,0,0,0,0,0,-0.1327537,-0.06915623,-0.01347724,344.7227,315.5822,6.727468
1.275228,0,0,0,0,0,0,-0.1327549,-0.06914063,-0.01345085,344.7935,315.617,6.64988
1.280422,0,0,0,0,0,0,-0.1327449,-0.06910348,-0.01341245,344.79,315.7239,6.519252
1.285874,0,0,0,0,0,0,-0.1327303,-0.06906173,-0.01337519,344.7906,315.8192,6.370795
1.291932,0,0,0,0,0,0,-0.1327088,-0.06901829,-0.01334844,344.7923,315.873,6.215691
1.298131,0,0,0,0,0,0,-0.1326686,-0.06897012,-0.01335007,344.7177,315.8683,6.067445
1.304854,0,0,0,0,0,0,-0.1326132,-0.06892412,-0.01338387,344.6066,315.7709,5.937885
1.310516,0,0,0,0,0,0,-0.1325615,-0.06887849,-0.01341033,344.5335,315.6746,5.797326
1.316065,0,0,0,0,0,0,-0.132537,-0.06884527,-0.01340432,344.5057,315.6811,5.686897
1.322007,0,0,0,0,0,0,-0.1325286,-0.06880975,-0.01336362,344.4706,315.82,5.570255
1.327182,0,0,0,0,0,0,-0.1325341,-0.06877808,-0.01330188,344.4284,316.0467,5.469465
1.333552,0,0,0,0,0,0,-0.1325535,-0.06875135,-0.01322045,344.3817,316.3556,5.387644
1.340062,0,0,0,0,0,0,-0.1325769,-0.0687308,-0.01314039,344.3312,316.6683,5.329156
1.346228,0,0,0,0,0,0,-0.1325945,-0.06872594,-0.01309729,344.2909,316.8522,5.324043
1.353099,0,0,0,0,0,0,-0.1325992,-0.06873752,-0.01310739,344.264,316.8452,5.374075
1.359557,0,0,0,0,0,0,-0.1325964,-0.06874955,-0.01313299,344.2383,316.78,5.4253
