Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:21.792366,1.734427,0.9120832,0.3329602,-0.697977,348.3102,266.5733,1.510423,0.6915962,-0.04675271,-0.625981,344.8771,258.7474,357.1141
2018/06/21 - 03:57:21.814308,1.756357,0.9131579,0.3339022,-0.6955308,347.8112,268.1661,1.576995,0.6936328,-0.03546005,-0.6181269,342.2533,260.4465,357.1674
2018/06/21 - 03:57:21.836282,1.779024,0.9139256,0.3346697,-0.6931656,347.3451,269.5715,1.44934,0.6953493,-0.02606234,-0.6109655,340.3073,262.2853,357.3194
2018/06/21 - 03:57:21.858220,1.800919,0.9147494,0.3355937,-0.6906514,346.9187,271.1596,1.145114,0.6973336,-0.01780487,-0.6039954,338.2732,263.9033,357.3749
2018/06/21 - 03:57:21.880162,1.822739,0.9154102,0.3364532,-0.6879077,346.418,272.7408,0.9563912,0.699208,-0.01159366,-0.5972444,336.4615,265.4377,357.0491
2018/06/21 - 03:57:21.903105,1.845809,0.9162732,0.3369864,-0.6851941,345.9821,274.0618,0.5352455,0.7006301,-0.006679716,-0.5901526,335.332,267.2616,356.0615
2018/06/21 - 03:57:21.925042,1.867421,0.9171236,0.3374717,-0.6826704,345.7596,275.5927,0.1494431,0.7016171,-0.003318884,-0.5832528,334.4785,269.2951,355.2932
2018/06/21 - 03:57:21.948067,1.889851,0.9177333,0.3377511,-0.680418,345.5107,276.8704,359.8083,0.7023108,-0.001553812,-0.5769662,334.1577,270.5874,355.0023
2018/06/21 - 03:57:21.970009,1.912214,0.9183745,0.3380869,-0.6785755,345.5706,277.7944,359.6341,0.7028226,-0.00110956,-0.5708129,333.6335,271.7342,354.8258
2018/06/21 - 03:57:21.991970,1.934471,0.9189439,0.3380042,-0.6772175,345.6176,278.4999,359.5117,0.7024756,-0.001676598,-0.5645847,333.4226,273.0627,354.7267
2018/06/21 - 03:57:22.013911,1.956394,0.9193958,0.3380629,-0.6757209,345.7344,279.2228,359.4142,0.70109,-0.003725191,-0.5581145,333.9092,274.4717,354.4384
2018/06/21 - 03:57:22.035853,1.978595,0.9197944,0.3381533,-0.6742319,345.7648,279.8604,359.3509,0.6989108,-0.006937683,-0.5513554,334.6712,276.0374,354.0521
2018/06/21 - 03:57:22.058791,2.001742,0.9203214,0.3382502,-0.6729681,345.8665,280.4579,359.2413,0.6957239,-0.0113313,-0.5443423,336.1246,277.5704,353.643
2018/06/21 - 03:57:22.080733,2.022915,0.9207426,0.338129,-0.6715353,345.918,281.1258,359.3224,0.6925488,-0.01632418,-0.5372971,337.9737,278.5925,352.9686
2018/06/21 - 03:57:22.103671,2.046458,0.9212026,0.3380363,-0.6700934,346.0264,281.9046,359.1609,0.690484,-0.02079251,-0.5300258,339.4073,279.6071,351.9169
2018/06/21 - 03:57:22.124697,2.067563,0.9215953,0.3378559,-0.6685099,346.1202,282.7771,359.1288,0.6891612,-0.02483055,-0.5229796,340.4651,280.9171,351.0148
2018/06/21 - 03:57:22.147636,2.089729,0.9219995,0.337732,-0.6669,346.3297,283.6756,359.0731,0.6885799,-0.0285066,-0.5165967,341.1011,282.0546,350.6287
2018/06/21 - 03:57:22.169595,2.11209,0.9221805,0.3375584,-0.6652536,346.5389,284.5868,359.0149,0.6880007,-0.03189845,-0.5104696,341.6322,283.2223,350.5835
