Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/21 - 03:57:56.597016,36.53795,17,15,User hit user's target,0.9858437,0.3381017,-0.6828871,346.1827,326.3229,354.5625,0.8364447,0.004781293,-0.268292,339.6731,336.9771,349.7726
2018/06/21 - 03:57:56.884248,36.82677,17,16,Peer hit peer's target,0.9993887,0.3350505,-0.6763808,347.4351,334.2522,353.8649,0.8924344,-0.01689952,-0.2451228,342.4904,341.1865,349.9063
2018/06/21 - 03:57:58.018484,37.96078,18,16,User hit user's target,0.9401457,0.3126816,-0.6800718,3.040205,298.747,2.577818,0.7900189,-0.2410644,-0.5325999,22.46463,286.6122,357.5343
2018/06/21 - 03:57:58.717613,38.6601,19,16,User hit user's target,0.9769269,0.3322678,-0.6661783,349.4221,331.7367,357.3511,0.8924248,0.009983633,-0.2550172,339.2923,339.6748,354.3069
2018/06/21 - 03:58:00.174737,40.1162,19,17,Peer hit peer's target,0.9711038,0.3343997,-0.6999362,348.2428,290.7094,4.626244,0.7444424,-0.09668171,-0.5428612,352.4705,284.0158,354.8105
2018/06/21 - 03:58:00.443737,40.38441,19,18,Peer hit peer's target,0.9729869,0.3340949,-0.7041658,348.7513,276.3488,3.450818,0.7175019,-0.07213125,-0.6337502,348.951,267.7894,353.9954
2018/06/21 - 03:58:00.682687,40.62513,19,19,Peer hit peer's target,0.9803291,0.3378532,-0.707251,345.5262,264.8313,2.101979,0.7118436,-0.05085191,-0.7011976,346.1077,256.1291,352.4991
2018/06/21 - 03:58:00.994362,40.93568,19,20,Peer hit peer's target,0.9715741,0.3330077,-0.6910135,350.8056,274.8715,357.9441,0.6805987,-0.1104709,-0.6273303,355.9138,268.7817,354.5639
2018/06/21 - 03:58:01.683783,41.62563,20,20,User hit user's target,0.9732183,0.3197628,-0.6471083,0.4886429,313.6811,355.6527,0.7809696,-0.2588028,-0.3381852,18.15086,316.2336,1.980599
2018/06/21 - 03:58:02.251752,42.19247,20,21,Peer hit peer's target,0.9698893,0.3229107,-0.6803522,359.2661,298.4947,357.8506,0.7158111,-0.1942537,-0.5224547,10.9434,289.0311,356.6059
2018/06/21 - 03:58:02.261705,42.20357,20,22,Peer hit peer's target,0.9693063,0.3230285,-0.6815176,359.1901,297.7493,357.9848,0.7132227,-0.1904426,-0.5281117,10.14216,288.2856,356.7347
2018/06/21 - 03:58:02.429347,42.3709,21,22,User hit user's target,0.964743,0.3244827,-0.696715,358.4919,288.8849,358.7209,0.6798275,-0.1413635,-0.5952163,4.646607,276.4946,357.1626
2018/06/21 - 03:58:03.774670,43.71595,21,23,Peer hit peer's target,0.992256,0.3469044,-0.6928201,338.2351,292.6021,357.2477,0.7361079,-0.01928056,-0.5224254,340.8525,290.3431,349.8166
2018/06/21 - 03:58:04.074868,44.01636,21,22,Peer missed,0.983811,0.3432531,-0.7019717,341.6509,278.8908,-0.005127198,0.7428266,-0.01965461,-0.6204309,342.9919,270.2359,353.615
2018/06/21 - 03:58:04.297292,44.23849,22,22,User hit user's target,0.9907465,0.3474605,-0.7088254,337.3216,271.9919,0.0347012,0.7559698,0.04468643,-0.6737245,332.0833,258.5159,354.43
2018/06/21 - 03:58:05.139884,45.08257,23,22,User hit user's target,0.9769156,0.3256245,-0.6803076,356.2151,289.8706,357.4691,0.6968424,-0.2251722,-0.4984581,19.18551,289.5891,0.2611475
2018/06/21 - 03:58:06.208185,46.15021,24,22,User hit user's target,0.9742206,0.3425049,-0.7015014,341.4804,276.22,358.0826,0.6968141,0.01016227,-0.6378775,341.8854,261.4064,355.9562
2018/06/21 - 03:58:06.907008,46.84078,24,21,Peer missed,0.9935883,0.3480712,-0.692782,336.1191,286.9667,355.6809,0.7236571,-0.08019831,-0.582476,357.8921,266.9568,340.2476
2018/06/21 - 03:58:07.139386,47.08118,24,22,Peer hit peer's target,0.9966456,0.3469391,-0.6817904,337.1894,292.9984,354.696,0.7400417,-0.06875978,-0.5422211,354.0227,274.1201,341.1284
2018/06/21 - 03:58:07.497813,47.43932,24,23,Peer hit peer's target,0.9946754,0.3450506,-0.6739525,338.583,296.4036,354.9155,0.7508568,-0.07167853,-0.5087703,353.5299,281.0351,339.2927
2018/06/21 - 03:58:08.452151,48.39353,23,23,User missed,1.016864,0.3095493,-0.6363435,3.980043,347.362,358.2449,1.036315,-0.2618759,-0.256228,17.57894,355.9695,1.988566
2018/06/21 - 03:58:08.814243,48.75001,24,23,User hit user's target,1.03051,0.3195596,-0.6480437,357.2137,353.1473,357.518,1.062409,-0.1535495,-0.2090815,357.3345,0.2369666,359.6682
2018/06/21 - 03:58:10.230778,50.17242,24,24,Peer hit peer's target,0.9694371,0.3135542,-0.7003838,3.793209,300.5446,359.7066,0.7950274,-0.1623062,-0.434736,359.4467,298.8366,4.94111
2018/06/21 - 03:58:10.462381,50.40516,25,24,User hit user's target,0.9672092,0.3110661,-0.6860401,4.40539,306.499,357.8771,0.7858882,-0.2001828,-0.420991,7.313217,303.3519,4.948061
2018/06/21 - 03:58:10.897646,50.83987,25,25,Peer hit peer's target,0.9621355,0.3253826,-0.6759521,352.3076,299.8093,354.6332,0.7581813,-0.08616147,-0.4762973,347.5515,293.5307,358.5231
2018/06/21 - 03:58:11.196848,51.13854,26,25,User hit user's target,0.9901638,0.3401999,-0.6759453,341.4221,304.0278,352.4366,0.7606012,0.01361445,-0.4720364,338.886,296.1793,354.5645
2018/06/21 - 03:58:12.618424,52.56078,27,25,User hit user's target,0.966549,0.3235265,-0.6792924,354.7791,301.2566,359.4153,0.7956039,-0.1642238,-0.4705984,6.239407,298.9494,351.7393
2018/06/21 - 03:58:12.640379,52.58298,27,26,Peer hit peer's target,0.9664501,0.3230553,-0.6783864,355.0493,301.7587,359.4185,0.7965742,-0.1667142,-0.4668004,6.487883,300.1416,352.4497
2018/06/21 - 03:58:13.408700,53.35025,28,26,User hit user's target,1.03415,0.3319053,-0.6710116,349.4525,346.9391,355.903,1.087011,0.04519051,-0.2158527,336.6411,3.867245,347.4608
2018/06/21 - 03:58:13.619160,53.56085,28,27,Peer hit peer's target,1.046467,0.3361405,-0.6859615,346.6198,348.2744,354.6853,1.108036,0.04484747,-0.2389575,335.0364,4.498084,348.4887
2018/06/21 - 03:58:14.919027,54.86149,29,27,User hit user's target,0.9764687,0.3308418,-0.744206,349.3287,275.9804,5.987756,0.783599,-0.09305561,-0.6157483,353.9149,273.6093,354.948
2018/06/21 - 03:58:16.052577,55.99472,29,28,Peer hit peer's target,0.9817497,0.3344622,-0.7189095,345.6579,291.1176,359.9669,0.7791781,-0.07420323,-0.5164967,350.6133,286.7981,352.4339
2018/06/21 - 03:58:16.776418,56.71783,29,29,Peer hit peer's target,0.9882047,0.3371665,-0.7091136,344.8104,297.6797,357.6753,0.7637253,-0.06210556,-0.4533976,347.1908,302.6774,353.8185
2018/06/21 - 03:58:16.908066,56.85035,30,29,User hit user's target,0.9850567,0.3358098,-0.7153646,346.463,295.2781,359.1729,0.7485508,-0.05738255,-0.4578918,346.3152,302.7163,357.218
2018/06/21 - 03:58:17.197293,57.13916,30,30,Peer hit peer's target,0.9865514,0.3359215,-0.7204579,345.9245,294.3346,0.4452109,0.7393845,0.01385716,-0.4916762,332.5772,298.2366,356.4718
2018/06/21 - 03:58:17.841555,57.7838,30,31,Peer hit peer's target,0.9809292,0.339055,-0.7113791,342.6999,294.7748,1.360197,0.7587434,-0.08271034,-0.5082138,350.1895,287.24,354.1794
2018/06/21 - 03:58:20.318262,60.26017,29,31,User missed,0.9958007,0.3367642,-0.6681611,344.3124,323.6713,357.2419,0.8625804,-0.02082059,-0.288956,344.1485,331.7171,346.701
2018/06/21 - 03:58:20.539670,60.48225,29,32,Peer hit peer's target,0.9966223,0.336567,-0.668635,344.4626,322.5362,357.516,0.8510991,-0.02345799,-0.3254884,341.4657,320.2849,350.7395
2018/06/21 - 03:58:20.673492,60.61561,29,31,Peer missed,0.9955455,0.3365065,-0.6714682,344.8565,320.0555,357.7641,0.8278196,-0.03141898,-0.3442867,343.6562,314.9315,353.8868
2018/06/21 - 03:58:20.698426,60.63987,30,31,User hit user's target,0.9950899,0.3365323,-0.6722757,344.7952,319.4204,357.8229,0.8236442,-0.03094963,-0.3525085,342.4291,312.6348,355.8105
2018/06/21 - 03:58:20.877332,60.81894,30,30,Peer missed,0.9905688,0.3377455,-0.678898,343.9403,314.999,358.6659,0.8020961,-0.006956369,-0.3798218,337.7162,310.3948,353.0713
2018/06/21 - 03:58:21.474735,61.41642,31,30,User hit user's target,1.000786,0.3317321,-0.6597052,348.6381,332.4149,356.463,0.9118183,-0.1055366,-0.2392424,352.4958,339.5063,354.223
2018/06/21 - 03:58:23.074633,63.01642,31,29,Peer missed,0.970406,0.329478,-0.6810001,350.6801,304.8404,358.9748,0.7770737,-0.08442084,-0.4545417,347.5716,293.6706,354.0801
2018/06/21 - 03:58:23.085585,63.0279,31,30,Peer hit peer's target,0.9706271,0.3295366,-0.6808877,350.6659,304.8694,358.9215,0.7771222,-0.08267285,-0.4557658,347.2699,293.4332,353.9568
2018/06/21 - 03:58:23.252162,63.19429,32,30,User hit user's target,0.9755077,0.331769,-0.6792303,349.3915,305.0854,358.2444,0.784354,-0.0329637,-0.4665585,336.5209,291.7859,354.257
2018/06/21 - 03:58:23.629645,63.5719,32,31,Peer hit peer's target,0.9915382,0.341708,-0.6866754,340.7584,305.2101,357.004,0.7896816,0.01002587,-0.4613644,330.2965,294.8167,352.0275
2018/06/21 - 03:58:24.197482,64.13942,32,32,Peer hit peer's target,0.9810788,0.3383344,-0.6879378,343.4274,299.7101,359.08,0.7929839,-0.05190768,-0.4847331,343.2247,288.6113,351.171
2018/06/21 - 03:58:24.319218,64.26128,32,33,Peer hit peer's target,0.982313,0.3413582,-0.689649,340.5697,296.6432,358.5813,0.8090386,-0.005346373,-0.5091371,332.2451,284.4868,354.0011
2018/06/21 - 03:58:24.575623,64.51691,33,33,User hit user's target,1.001216,0.3518151,-0.6998407,329.3521,292.022,356.7454,0.8509853,0.07999706,-0.558642,315.47,272.7318,358.2947
2018/06/21 - 03:58:25.597509,65.53951,33,34,Peer hit peer's target,0.9823273,0.3445271,-0.711109,337.4742,284.2787,1.721845,0.7956052,-0.04047954,-0.549394,341.4153,273.6106,356.3623
2018/06/21 - 03:58:25.888730,65.82925,33,33,Peer missed,0.9718682,0.3396676,-0.7071759,341.9698,283.775,1.476185,0.7768164,-0.06018264,-0.54862,341.8076,272.0981,6.120007
2018/06/21 - 03:58:26.530754,66.47241,34,33,User hit user's target,0.9558133,0.3185396,-0.6917842,359.353,293.4475,-0.001177776,0.7516432,-0.2544028,-0.4739695,11.02533,288.489,4.001673
2018/06/21 - 03:58:26.597842,66.54051,34,32,Peer missed,0.9555318,0.3173843,-0.6867487,0.02868643,295.8231,359.7833,0.7490681,-0.2469326,-0.4628994,9.092363,290.4966,2.818883
2018/06/21 - 03:58:26.841173,66.78332,34,31,Peer missed,0.9567597,0.3180149,-0.6729393,359.4613,302.4731,358.9848,0.7476494,-0.2219487,-0.4242283,5.703959,296.84,0.9382091
2018/06/21 - 03:58:28.841138,68.78367,34,32,Peer hit peer's target,0.9477884,0.3220451,-0.6924224,354.6104,280.3316,2.183002,0.7598156,-0.1322216,-0.5849746,352.9796,266.2374,359.4843
2018/06/21 - 03:58:28.919957,68.86228,35,32,User hit user's target,0.9493861,0.3222469,-0.6912343,354.5098,281.2401,1.892375,0.7573935,-0.133039,-0.5890542,353.0249,266.2835,359.9919
2018/06/21 - 03:58:29.852774,69.79399,35,33,Peer hit peer's target,0.9453201,0.3177668,-0.6974514,358.3819,276.9482,1.778161,0.7664983,-0.1399049,-0.5760649,349.7829,270.7961,10.09299
2018/06/21 - 03:58:30.942373,70.88436,36,33,User hit user's target,0.9544617,0.3321008,-0.7016025,346.4899,269.6574,357.2451,0.8008613,-0.0361527,-0.617094,337.026,260.0626,1.50613
2018/06/21 - 03:58:31.553738,71.49546,37,33,User hit user's target,0.9910139,0.3256749,-0.6520317,354.1735,326.6788,353.5569,0.8608114,-0.1234582,-0.2813763,359.5563,326.68,353.673
2018/06/21 - 03:58:32.309800,72.25091,38,33,User hit user's target,0.9847881,0.3192155,-0.6612843,359.1106,330.2565,357.0119,0.8838828,-0.1677848,-0.2810681,7.018947,333.9958,356.0959
2018/06/21 - 03:58:32.663855,72.60603,38,34,Peer hit peer's target,0.9839468,0.3208073,-0.6602301,357.9338,326.4354,356.6418,0.8368507,-0.118271,-0.3103636,357.2268,323.484,355.1902
2018/06/21 - 03:58:32.919172,72.8615,38,35,Peer hit peer's target,0.975941,0.3210384,-0.6599249,357.6633,318.7531,356.9923,0.815532,-0.1021894,-0.3506435,353.1606,315.4395,353.3578
2018/06/21 - 03:58:33.917266,73.85904,38,36,Peer hit peer's target,0.9486873,0.3243386,-0.7203897,353.0044,277.6745,4.177703,0.7723736,-0.1064303,-0.5481916,354.6517,281.3263,355.0428
2018/06/21 - 03:58:34.217463,74.15884,39,36,User hit user's target,0.9479875,0.3211371,-0.7133732,355.7728,282.7682,3.95266,0.7644396,-0.1423156,-0.5390421,0.9765912,283.1961,356.4954
2018/06/21 - 03:58:34.262344,74.20446,39,37,Peer hit peer's target,0.9489224,0.3213969,-0.7118025,355.5378,283.9217,3.801487,0.7618252,-0.142791,-0.530431,1.835681,284.9918,355.8338
2018/06/21 - 03:58:34.505693,74.44804,39,38,Peer hit peer's target,0.9514484,0.323296,-0.7044059,354.7654,286.6599,3.496845,0.7664062,-0.127635,-0.5004579,359.3936,289.2357,354.6689
2018/06/21 - 03:58:35.373841,75.31556,40,38,User hit user's target,0.9584461,0.311305,-0.6670178,4.197899,306.5113,0.1876091,0.8381492,-0.2361386,-0.4137585,16.08487,307.6608,359.0252
2018/06/21 - 03:58:35.873512,75.81544,40,39,Peer hit peer's target,0.9725602,0.3220656,-0.6624282,356.1566,312.4814,358.716,0.8224961,-0.158924,-0.3819531,4.545315,309.6617,354.1376
2018/06/21 - 03:58:36.697286,76.63931,40,40,Peer hit peer's target,0.9827807,0.3400843,-0.7083284,340.9521,290.1004,5.054157,0.809613,-0.0435741,-0.5228252,338.7078,284.3432,358.208
2018/06/21 - 03:58:40.497523,80.4397,40,39,Peer missed,0.9407849,0.3144058,-0.679118,0.1292827,292.6828,359.0216,0.7503707,-0.1192469,-0.5127495,345.1874,282.9125,7.66029
2018/06/21 - 03:58:41.099755,81.04179,41,39,User hit user's target,0.9613386,0.3246653,-0.673775,354.6068,299.9484,357.4211,0.7292751,-0.1148852,-0.4899794,355.761,293.3978,359.9648
2018/06/21 - 03:58:42.964261,82.90639,42,39,User hit user's target,0.997412,0.3483107,-0.7035735,333.0784,288.2935,358.3492,0.7483928,-0.04200049,-0.5629219,337.8248,285.821,353.0193
2018/06/21 - 03:58:43.155754,83.09618,42,40,Peer hit peer's target,0.9971263,0.3468088,-0.6987892,335.0885,293.4026,357.3631,0.7570496,-0.05978047,-0.5397645,341.4156,289.7994,353.4171
2018/06/21 - 03:58:43.531923,83.47343,43,40,User hit user's target,1.000009,0.3376446,-0.6782575,344.4693,320.8436,355.3965,0.8383505,-0.07394061,-0.3375827,348.3141,326.6977,352.2953
2018/06/21 - 03:58:44.453233,84.39491,43,41,Peer hit peer's target,0.9813204,0.3353925,-0.6993926,345.5485,299.798,0.9712558,0.7501767,-0.07554472,-0.527722,341.8902,289.5309,356.2518
