Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 02:32:52.9452673,0.6774316,0.00217307,0.01143965,-0.01984768,352.198,6.479577,3.920066,0.1132521,-0.4424071,0.1198992,345.8791,13.09906,346.6885
2018/06/28 - 02:32:52.9552408,0.6882766,0.002398122,0.01149966,-0.02005706,352.2198,6.643217,3.949877,0.1134753,-0.4423434,0.1197959,345.8904,13.12888,346.6724
2018/06/28 - 02:32:52.9672085,0.6994581,0.00257561,0.01150279,-0.0201996,352.1782,6.807652,3.924635,0.1136803,-0.4422642,0.1197179,345.9037,13.15877,346.6574
2018/06/28 - 02:32:52.9791764,0.7104783,0.002786718,0.01155279,-0.02038467,352.2191,6.953161,3.908615,0.1139049,-0.4421555,0.1196411,345.9083,13.18041,346.6356
2018/06/28 - 02:32:52.9891783,0.7215047,0.002871729,0.01153495,-0.02054143,352.2222,7.143754,3.832727,0.114118,-0.4420333,0.119545,345.9048,13.20781,346.6115
2018/06/28 - 02:32:53.0011176,0.7329311,0.002950013,0.01155013,-0.02069204,352.2476,7.370709,3.796132,0.1143364,-0.4418684,0.1194361,345.8924,13.24013,346.6001
2018/06/28 - 02:32:53.0110913,0.7439701,0.003040876,0.01162988,-0.0207451,352.2459,7.631278,3.724714,0.1145254,-0.441716,0.11929,345.8768,13.27207,346.5976
2018/06/28 - 02:32:53.0230587,0.7549587,0.003194686,0.01176095,-0.02077523,352.2864,7.916773,3.691276,0.1147421,-0.4415298,0.1190567,345.8521,13.30856,346.6171
2018/06/28 - 02:32:53.0330319,0.7663262,0.003446302,0.01194419,-0.02072782,352.3159,8.173598,3.624052,0.1149448,-0.4413216,0.118754,345.8138,13.3469,346.632
2018/06/28 - 02:32:53.0459971,0.7772856,0.003656746,0.01203899,-0.0207209,352.3178,8.535454,3.550628,0.1151085,-0.4411393,0.1184726,345.7797,13.38352,346.6555
2018/06/28 - 02:32:53.0559717,0.7885731,0.00393701,0.01212048,-0.02074473,352.3218,8.860132,3.472615,0.1152905,-0.4409364,0.1181368,345.7222,13.4364,346.6876
2018/06/28 - 02:32:53.0689571,0.8002123,0.00418228,0.01212991,-0.0207989,352.2859,9.281737,3.369094,0.115483,-0.4406918,0.1177664,345.648,13.50392,346.7481
2018/06/28 - 02:32:53.0789095,0.8116165,0.004482295,0.01216145,-0.02086252,352.2914,9.695042,3.271498,0.1155933,-0.4405176,0.1175384,345.6073,13.56454,346.8214
2018/06/28 - 02:32:53.0898802,0.8218531,0.004841745,0.01222127,-0.02072253,352.2954,10.18421,3.154699,0.1156938,-0.4403505,0.1173055,345.5573,13.60378,346.8911
2018/06/28 - 02:32:53.1008501,0.8332818,0.005217998,0.0122344,-0.02076362,352.3193,10.68155,3.02234,0.1158018,-0.4401972,0.1170633,345.5193,13.65177,346.9409
2018/06/28 - 02:32:53.1108241,0.8442348,0.005636055,0.01220796,-0.0209,352.3436,11.24141,2.919862,0.1159243,-0.4400714,0.1167962,345.4808,13.72207,346.9944
2018/06/28 - 02:32:53.1237896,0.8547328,0.006090939,0.01222532,-0.02080852,352.3051,11.82944,2.795098,0.1160647,-0.4399805,0.1165338,345.4438,13.80285,347.0355
