Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/22 - 01:52:34.2810943,1.054582,0.5891224,0.2595477,-0.7689571,9.791498,296.1663,358.6832,0.4129581,-0.2684347,-0.570798,340.4645,293.5322,350.7384
2018/06/22 - 01:52:34.2930620,1.065351,0.5890904,0.2595496,-0.7689174,9.781824,296.1508,358.6726,0.4127733,-0.268815,-0.5687617,342.007,293.8136,348.6428
2018/06/22 - 01:52:34.3030455,1.077372,0.5890564,0.2595318,-0.768864,9.766268,296.1311,358.67,0.4135605,-0.2693411,-0.5671511,343.2451,294.3436,346.0713
2018/06/22 - 01:52:34.3145362,1.088037,0.5890091,0.2595101,-0.7687951,9.74721,296.1057,358.6378,0.4140429,-0.2694908,-0.5660022,344.8486,294.7445,344.1667
2018/06/22 - 01:52:34.3255140,1.098991,0.5889555,0.2595026,-0.7687397,9.737074,296.0967,358.6465,0.413723,-0.2695065,-0.5653984,347.3799,294.6877,342.8421
2018/06/22 - 01:52:34.3374644,1.110236,0.5889612,0.2594991,-0.7686678,9.731506,296.0567,358.6234,0.4135026,-0.2694596,-0.5649613,349.5537,294.0984,341.8082
2018/06/22 - 01:52:34.3474384,1.121632,0.5889508,0.2594961,-0.7686329,9.723821,296.0453,358.6244,0.4136907,-0.2692616,-0.5649059,351.324,292.0367,341.6911
2018/06/22 - 01:52:34.3594059,1.132124,0.5889736,0.2594815,-0.7685785,9.687517,296.0252,358.6305,0.4142223,-0.2689599,-0.5654945,352.1055,290.128,342.7629
2018/06/22 - 01:52:34.3704039,1.143451,0.5890689,0.2594973,-0.7685138,9.631983,295.9771,358.654,0.4149762,-0.2681725,-0.5664124,352.6971,288.5851,344.8918
2018/06/22 - 01:52:34.3823449,1.154807,0.5891017,0.2595448,-0.7685194,9.613466,295.957,358.6532,0.4155967,-0.2670377,-0.5676146,352.9509,286.8467,348.4939
2018/06/22 - 01:52:34.3923403,1.165857,0.5891851,0.2595741,-0.768553,9.585385,295.945,358.683,0.4161137,-0.2663774,-0.5686078,353.4699,285.5716,351.6662
2018/06/22 - 01:52:34.4042986,1.176645,0.589371,0.2596412,-0.7685985,9.552264,295.8604,358.6706,0.4165604,-0.2663811,-0.5694799,354.7604,285.2755,353.9388
