Time (s):,User Points:,Peer Points:,Action type:,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
8.644788,-34,-26,User missed,-0.8048558,0.2436353,-0.1676671,10.01477,63.61337,0.5113639,-0.6847556,-0.3105284,-0.1101014,2.478662,21.71214,87.50994
8.711492,-33,-27,Peer hit user's target,-0.8050197,0.2437943,-0.1677847,9.829463,63.64208,0.5577642,-0.6814263,-0.3086683,-0.1082202,2.537831,23.72306,86.22787
8.844625,-34,-27,User missed,-0.8066928,0.2442375,-0.1684427,9.486521,63.51207,0.6127737,-0.6831188,-0.309696,-0.1093367,3.224499,22.13984,86.60616
9.055992,-35,-27,User missed,-0.8127329,0.2483156,-0.1704513,7.691241,63.30376,0.6785921,-0.6825614,-0.3083606,-0.1089473,3.282574,22.8182,85.92819
9.200204,-34,-28,Peer hit user's target,-0.8150674,0.2486858,-0.1695881,7.015457,62.75309,0.8448282,-0.6792697,-0.3055568,-0.1083808,2.375086,25.01976,83.89155
9.245039,-35,-28,User missed,-0.815555,0.25007,-0.1690692,6.01906,62.55175,0.9668606,-0.6834466,-0.3076726,-0.110983,2.971045,22.008,85.4046
9.411258,-35,-29,Peer missed,-0.8170986,0.2566471,-0.1687071,1.644737,62.47561,1.501833,-0.6803626,-0.3066978,-0.1082419,2.119967,24.17225,84.82455
9.444741,-36,-29,User missed,-0.8179796,0.2589083,-0.1687329,0.2255461,62.35466,1.590789,-0.6818244,-0.3076251,-0.1090356,2.220884,23.10012,85.75316
9.655929,-37,-29,User missed,-0.8257958,0.2692729,-0.170834,353.8695,62.01914,2.126834,-0.6804833,-0.3076553,-0.1097809,2.870068,23.07023,84.85357
9.744775,-37,-30,Peer missed,-0.8303447,0.2725905,-0.1725044,352.0642,61.72424,2.278661,-0.6762632,-0.3052591,-0.1080296,1.759603,26.19342,83.63745
9.855848,-38,-30,User missed,-0.8376778,0.2769719,-0.175261,350.2198,61.78298,3.769452,-0.6805751,-0.3107749,-0.1082843,3.924286,22.91221,85.22916
10.06718,-39,-30,User missed,-0.8569028,0.28463,-0.1804074,346.645,60.97965,4.020479,-0.6848156,-0.3176556,-0.1064276,5.628797,23.16873,89.86015
10.11153,-39,-31,Peer missed,-0.8594728,0.2853507,-0.1809879,346.0316,60.90667,4.058143,-0.6848929,-0.317513,-0.1059404,5.05678,23.57946,90.3598
10.27824,-40,-31,User missed,-0.8702732,0.2882353,-0.1831252,344.2326,60.41995,4.235067,-0.6887833,-0.3182693,-0.10645,5.473086,22.46084,90.68094
10.48946,-41,-31,User missed,-0.8769422,0.2896603,-0.183023,343.1251,58.0048,5.567592,-0.6884776,-0.3177693,-0.1071172,5.784551,22.47006,90.23457
10.65558,-41,-32,Peer missed,-0.8791081,0.2917433,-0.1842708,341.4409,56.59814,5.84754,-0.6860362,-0.3176647,-0.1044421,5.007398,24.6101,90.07834
