Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 03:28:54.1824772,0.712029,-0.02911844,0.03228947,-0.1813296,354.6555,214.9985,359.7135,-0.2160982,-0.3944246,-0.3293944,20.77949,221.5219,359.8093
2018/06/28 - 03:28:54.1924466,0.7217531,-0.02892625,0.03239548,-0.1812978,354.5499,215.0466,359.6615,-0.2160264,-0.3944845,-0.3293957,20.78476,221.5145,359.8294
2018/06/28 - 03:28:54.2044112,0.7322988,-0.02878636,0.03254624,-0.1811803,354.5054,215.06,359.751,-0.2159722,-0.3945512,-0.329436,20.7913,221.5039,359.838
2018/06/28 - 03:28:54.2153816,0.7429822,-0.02873283,0.0326606,-0.1811093,354.4052,215.1019,359.7932,-0.2159474,-0.3946335,-0.3294597,20.7989,221.4945,359.8301
2018/06/28 - 03:28:54.2283685,0.7553313,-0.02880067,0.03277804,-0.1814546,354.3512,215.1724,359.7863,-0.2159505,-0.3947399,-0.3294878,20.81049,221.4886,359.8159
2018/06/28 - 03:28:54.2373236,0.7668843,-0.02881393,0.03298306,-0.181665,354.3243,215.2027,359.7509,-0.215995,-0.3948773,-0.3295588,20.82728,221.477,359.806
2018/06/28 - 03:28:54.2492910,0.776878,-0.02892119,0.03312158,-0.1820134,354.1342,215.2306,359.7431,-0.2160675,-0.3950362,-0.3296213,20.85195,221.4724,359.8059
2018/06/28 - 03:28:54.2612590,0.7879932,-0.02889491,0.03335312,-0.1825153,354.036,215.297,359.6062,-0.2162213,-0.3952841,-0.3297315,20.90498,221.4878,359.8192
2018/06/28 - 03:28:54.2702611,0.8004675,-0.02889541,0.03357,-0.1826768,353.9639,215.2222,359.5666,-0.2163903,-0.395517,-0.3297963,20.95514,221.519,359.8228
2018/06/28 - 03:28:54.2832001,0.8101528,-0.02886224,0.0336628,-0.1828999,353.8243,215.2116,359.5428,-0.2166036,-0.395777,-0.3298368,21.00731,221.562,359.8189
2018/06/28 - 03:28:54.2931787,0.8218537,-0.02888745,0.03370401,-0.1830614,353.7605,215.0984,359.4765,-0.2167594,-0.3959466,-0.3298567,21.03875,221.5854,359.814
2018/06/28 - 03:28:54.3051467,0.8328008,-0.02878906,0.03362332,-0.1831252,353.7234,214.9994,359.3186,-0.2168748,-0.3960596,-0.3298586,21.04882,221.5819,359.8065
2018/06/28 - 03:28:54.3151198,0.8438574,-0.02866877,0.03344139,-0.1831101,353.6981,214.8998,359.215,-0.2169827,-0.3961616,-0.3298243,21.04913,221.5732,359.7947
2018/06/28 - 03:28:54.3291079,0.8544254,-0.0284515,0.03325192,-0.1828758,353.7259,214.8008,359.1398,-0.2171229,-0.3963002,-0.3297145,21.04401,221.5651,359.7672
2018/06/28 - 03:28:54.3380585,0.8659909,-0.02854854,0.03315706,-0.1823192,353.8259,214.6579,359.299,-0.2173957,-0.3964785,-0.329527,21.03813,221.558,359.7109
2018/06/28 - 03:28:54.3500265,0.8771448,-0.0285563,0.03303465,-0.1820404,353.7327,214.6401,359.3609,-0.2177483,-0.3965839,-0.3293503,21.03949,221.5793,359.6587
2018/06/28 - 03:28:54.3609975,0.8886477,-0.02817734,0.0330672,-0.181252,353.6417,214.4682,359.1578,-0.2183068,-0.3965347,-0.3293221,21.06174,221.633,359.6019
2018/06/28 - 03:28:54.3709706,0.899628,-0.02789632,0.03316224,-0.1807146,353.5826,214.2774,358.992,-0.2189584,-0.3963387,-0.3292902,21.05882,221.7004,359.5071
2018/06/28 - 03:28:54.3829380,0.910551,-0.02782709,0.03297416,-0.1797235,353.4346,214.1037,359.1017,-0.2194747,-0.3960177,-0.3292456,20.98851,221.7113,359.3557
2018/06/28 - 03:28:54.3929118,0.9224313,-0.02772081,0.03278758,-0.1785969,353.383,214.0741,359.1911,-0.2199848,-0.3956441,-0.3292107,20.9106,221.6815,359.2294
