Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Right Hand Position x:,Right Hand Position y:,Right Hand Position z:,Right Hand rotation x:,Right Hand rotation y:,Right Hand rotation z:
2018/06/28 - 04:39:09.7983968,0.4429349,-0.06706347,0.004934092,-0.01348338,359.9555,357.0665,357.2402,0.004967755,-0.576292,0.1238444,4.134407,356.308,7.35382
2018/06/28 - 04:39:09.8103878,0.4552573,-0.06636024,0.004723893,-0.01306387,0.01858764,356.8545,357.1508,0.004945782,-0.5768582,0.1239975,4.214077,356.1802,7.325093
2018/06/28 - 04:39:09.8193410,0.4668814,-0.065662,0.004479958,-0.01277128,0.1591702,356.6754,357.0886,0.004879767,-0.5774142,0.1242697,4.277249,356.0034,7.290553
2018/06/28 - 04:39:09.8313274,0.4769749,-0.06492013,0.004137964,-0.0123584,0.2249805,356.4447,357.0203,0.004866994,-0.5779458,0.124582,4.333111,355.8795,7.242376
2018/06/28 - 04:39:09.8422978,0.4880503,-0.06416105,0.003884687,-0.01173432,0.329067,356.2104,356.9168,0.004876934,-0.5784956,0.1249426,4.392915,355.8276,7.19923
2018/06/28 - 04:39:09.8532498,0.4996302,-0.06338637,0.003654274,-0.0107395,0.4150948,356.0084,356.8192,0.004830597,-0.5790911,0.1253369,4.505134,355.7735,7.188637
2018/06/28 - 04:39:09.8632323,0.5099365,-0.06253354,0.003388553,-0.009570017,0.4487544,355.7841,356.7497,0.004716083,-0.579693,0.1255376,4.526522,355.638,7.102054
2018/06/28 - 04:39:09.8752108,0.5211883,-0.0616939,0.003207877,-0.008314753,0.5422889,355.5801,356.6899,0.004592941,-0.5802449,0.1257917,4.564539,355.4834,6.957286
2018/06/28 - 04:39:09.8871592,0.532254,-0.06085394,0.002945633,-0.007126832,0.5871475,355.3566,356.5979,0.004391515,-0.580852,0.1261111,4.656873,355.2903,6.83835
2018/06/28 - 04:39:09.8961359,0.5437796,-0.05986375,0.0026164,-0.005859029,0.691837,355.1096,356.5623,0.004194521,-0.5815038,0.1263838,4.79273,355.1217,6.778592
2018/06/28 - 04:39:09.9091071,0.5540964,-0.05897055,0.002305168,-0.00475364,0.8606554,354.9078,356.4844,0.003967814,-0.5821344,0.1266032,4.834207,354.9967,6.735384
2018/06/28 - 04:39:09.9190740,0.5661685,-0.05813622,0.001842675,-0.003689124,0.9152676,354.7207,356.4315,0.003701086,-0.5828152,0.1267483,4.887175,354.856,6.708935
2018/06/28 - 04:39:09.9300447,0.5765803,-0.05731916,0.001425706,-0.002761065,1.00929,354.4825,356.3661,0.003425029,-0.583433,0.1269458,4.910789,354.7281,6.678175
2018/06/28 - 04:39:09.9410163,0.5871761,-0.05654719,0.0009450533,-0.001938773,1.068801,354.2266,356.2805,0.003187798,-0.5839917,0.127243,4.93282,354.6163,6.600706
2018/06/28 - 04:39:09.9529843,0.5988024,-0.05573576,0.0005707354,-0.0007864671,1.186885,354.0291,356.2422,0.002937025,-0.5845205,0.1275652,5.008794,354.4701,6.445654
2018/06/28 - 04:39:09.9639536,0.6097825,-0.05483053,0.0002196282,0.0006716982,1.31831,353.7882,356.1151,0.002702449,-0.5849891,0.1279031,5.064617,354.3103,6.271514
2018/06/28 - 04:39:09.9749254,0.6211646,-0.05383795,-0.0001456342,0.002610195,1.41305,353.6057,356.0185,0.002492697,-0.5853652,0.1284294,5.093208,354.1927,6.13127
2018/06/28 - 04:39:09.9848983,0.6318961,-0.05279092,-0.0005185958,0.004322303,1.536931,353.3695,355.9247,0.002268321,-0.5856916,0.1289829,5.067188,354.0881,6.050569
2018/06/28 - 04:39:09.9978638,0.6430426,-0.05178474,-0.000924658,0.005854974,1.681405,353.1997,355.8479,0.002004702,-0.5859408,0.1294573,4.999101,353.9503,5.970854
2018/06/28 - 04:39:10.0098304,0.6543301,-0.05082401,-0.001382482,0.007165273,1.754985,353.0301,355.709,0.001658129,-0.5861874,0.12996,4.956857,353.7613,5.85597
2018/06/28 - 04:39:10.0188080,0.6664693,-0.04988445,-0.00173864,0.008484663,1.80612,352.8945,355.5907,0.00132661,-0.5864602,0.1305399,4.96072,353.5344,5.680574
2018/06/28 - 04:39:10.0307757,0.6760156,-0.04888032,-0.001956536,0.01027414,1.798383,352.7892,355.5116,0.001110852,-0.5866709,0.1312332,4.924756,353.4453,5.529552
2018/06/28 - 04:39:10.0427436,0.687544,-0.04794018,-0.002030664,0.01206072,1.748819,352.6804,355.3837,0.0009751266,-0.5868281,0.1319754,4.873122,353.4293,5.382789
2018/06/28 - 04:39:10.0527353,0.7000283,-0.04696003,-0.002231002,0.01363884,1.675728,352.5008,355.3146,0.0008165998,-0.586807,0.133262,4.840781,353.4257,5.234119
2018/06/28 - 04:39:10.0636881,0.7095495,-0.04624741,-0.002409763,0.01450928,1.604432,352.4086,355.1565,0.0005949267,-0.5867293,0.1346271,4.798954,353.3571,5.095118
2018/06/28 - 04:39:10.0756745,0.7210714,-0.04557108,-0.0026145,0.015218,1.457269,352.2995,354.9844,0.0004149318,-0.586763,0.1355797,4.691434,353.2868,4.881479
2018/06/28 - 04:39:10.0866267,0.732353,-0.04484107,-0.00265538,0.01641694,1.268611,352.2275,354.8442,0.0001984699,-0.5868896,0.136489,4.653958,353.199,4.675983
2018/06/28 - 04:39:10.0966210,0.7431371,-0.04408653,-0.002751919,0.01773954,1.08426,352.1121,354.6912,-8.362789E-05,-0.5871176,0.1372393,4.659425,353.1222,4.537903
2018/06/28 - 04:39:10.1086529,0.7540421,-0.04334076,-0.002908461,0.01933616,0.9265869,352.0043,354.5667,-0.0004538741,-0.5873703,0.138144,4.676038,352.9356,4.420938
2018/06/28 - 04:39:10.1206212,0.7654569,-0.04261551,-0.003104015,0.02051181,0.9394186,351.8651,354.5124,-0.0008222334,-0.5875739,0.1392268,4.717247,352.7595,4.27531
2018/06/28 - 04:39:10.1305949,0.7778322,-0.04199003,-0.003365761,0.02130421,1.064641,351.7562,354.3989,-0.001103758,-0.587706,0.1405775,4.801866,352.665,4.090034
2018/06/28 - 04:39:10.1405678,0.7871832,-0.04142791,-0.003689225,0.02197422,1.175341,351.6577,354.2482,-0.001349664,-0.5877616,0.1419674,4.847076,352.6496,3.943719
2018/06/28 - 04:39:10.1535342,0.798136,-0.0407998,-0.00400782,0.02236622,1.344685,351.5318,354.267,-0.001569502,-0.5877842,0.1431669,4.868528,352.7151,3.792325
2018/06/28 - 04:39:10.1635309,0.8098556,-0.04023919,-0.004164907,0.02301847,1.464205,351.4769,354.238,-0.001804615,-0.5876888,0.1442842,4.840525,352.736,3.63182
2018/06/28 - 04:39:10.1744775,0.8206733,-0.03960774,-0.004153159,0.02374585,1.55681,351.3975,354.2467,-0.002070215,-0.5873888,0.1453181,4.726727,352.7215,3.466163
2018/06/28 - 04:39:10.1864452,0.8316284,-0.03885142,-0.0041437,0.02535187,1.450078,351.3308,354.263,-0.002338324,-0.5868625,0.1463696,4.574082,352.6512,3.259465
2018/06/28 - 04:39:10.1964186,0.8431664,-0.03811477,-0.004094162,0.02670873,1.431478,351.2541,354.2447,-0.002611138,-0.5862109,0.1474428,4.316921,352.5893,3.085899
2018/06/28 - 04:39:10.2083866,0.8535742,-0.03736886,-0.004185423,0.02803443,1.380376,351.2041,354.2669,-0.002915982,-0.5853057,0.1488593,4.037962,352.4552,2.975291
2018/06/28 - 04:39:10.2183669,0.8646999,-0.03674032,-0.004281518,0.02891193,1.437341,351.216,354.1822,-0.003278655,-0.5844278,0.1502959,3.732288,352.2766,2.887191
2018/06/28 - 04:39:10.2303277,0.8764361,-0.03604127,-0.004435061,0.02968646,1.535311,351.1866,354.1169,-0.003676667,-0.5834256,0.152105,3.432937,352.1168,2.840807
