Date and clock time (yyyy/MM/dd - hh:mm:ss.ffffff):,Gameplay Time (updated every frame) (s):,Headset position x:,Headset position y:,Headset position z:,Headset rotation x:,Headset rotation y:,Headset rotation z:,Left Hand Position x:,Left Hand Position y:,Left Hand Position z:,Left Hand rotation x:,Left Hand rotation y:,Left Hand rotation z:
2018/06/29 - 02:39:54.6916866,0.557975,0.0888259,0.008953635,0.01792507,352.9932,297.4003,2.403582,-0.1423913,-0.3748399,0.04769108,351.2108,306.6364,16.95158
2018/06/29 - 02:39:54.7036420,0.5673301,0.08848737,0.00872787,0.01805926,353.1863,297.8062,2.381856,-0.1425172,-0.3756951,0.04877758,351.4761,306.7592,16.90701
2018/06/29 - 02:39:54.7146543,0.5787411,0.08817293,0.008447106,0.01823784,353.437,298.2159,2.314434,-0.1426674,-0.376509,0.04988508,351.6754,306.9316,16.93056
2018/06/29 - 02:39:54.7266023,0.5904849,0.08782889,0.008131725,0.01835339,353.7592,298.7312,2.253828,-0.1428503,-0.3773943,0.05111884,352.0416,307.0645,16.91144
2018/06/29 - 02:39:54.7365758,0.6009362,0.08754511,0.007772104,0.018459,354.1473,299.2701,2.224665,-0.1431839,-0.3782738,0.05256205,352.569,307.2491,16.85998
2018/06/29 - 02:39:54.7475465,0.6121851,0.08732833,0.007358759,0.0185441,354.5894,299.8211,2.142991,-0.1435451,-0.3792601,0.05405423,353.0793,307.3994,16.7953
2018/06/29 - 02:39:54.7595136,0.6228191,0.08713544,0.007002211,0.01861273,355.0255,300.4043,2.082386,-0.1439615,-0.3803158,0.05573054,353.737,307.4314,16.62342
2018/06/29 - 02:39:54.7704852,0.6346576,0.08684293,0.00659797,0.01878866,355.2878,300.9582,2.037555,-0.1442631,-0.3813408,0.05744802,354.3279,307.4417,16.40178
2018/06/29 - 02:39:54.7814567,0.6456351,0.08656008,0.006307971,0.01897796,355.5744,301.5266,2.022664,-0.1444287,-0.3823676,0.05907017,354.7604,307.5074,16.24669
2018/06/29 - 02:39:54.7924257,0.6563396,0.08620858,0.006041633,0.01917168,355.8415,302.1593,1.97982,-0.1444958,-0.3834538,0.06083214,355.2079,307.6676,16.09574
2018/06/29 - 02:39:54.8053924,0.6675794,0.08586665,0.005721029,0.01940753,356.1127,302.8138,2.017157,-0.1445135,-0.3847629,0.0627198,355.8102,308.0157,15.91735
2018/06/29 - 02:39:54.8143672,0.6805281,0.08559295,0.005423298,0.01959392,356.4533,303.395,2.009315,-0.1448138,-0.3863579,0.06482882,356.7444,308.2764,15.71527
2018/06/29 - 02:39:54.8263357,0.6898143,0.08525362,0.005104803,0.01980399,356.7157,303.9365,2.027134,-0.1452684,-0.3879701,0.06696388,357.8434,308.1711,15.48
2018/06/29 - 02:39:54.8363092,0.7009594,0.08480323,0.004749371,0.02001741,356.9957,304.5681,2.121656,-0.1455746,-0.3893659,0.06877889,358.5421,307.9705,15.42084
2018/06/29 - 02:39:54.8482771,0.7120333,0.08438174,0.004408008,0.0201511,357.3564,305.0966,2.087711,-0.1456436,-0.3907325,0.07030005,358.8893,307.9801,15.57592
2018/06/29 - 02:39:54.8582497,0.7231832,0.08401804,0.004057121,0.02020466,357.851,305.669,2.075744,-0.1456355,-0.3922739,0.07190593,359.3914,308.1823,15.71792
2018/06/29 - 02:39:54.8712164,0.7340157,0.08376113,0.003483183,0.02033164,358.4235,306.1345,2.167638,-0.1456914,-0.3938835,0.07355595,0.02011491,308.2848,15.81447
2018/06/29 - 02:39:54.8831829,0.7456196,0.08337565,0.002904222,0.02033853,359.0497,306.658,2.208815,-0.145698,-0.3956078,0.07515387,0.6718084,308.3228,15.82511
2018/06/29 - 02:39:54.8921591,0.7578279,0.08298364,0.002407485,0.02032829,359.7043,307.1428,2.22886,-0.1459192,-0.3974233,0.07683359,1.508545,308.2243,15.76181
2018/06/29 - 02:39:54.9031412,0.7674114,0.08262172,0.001893666,0.02034479,0.3414699,307.5181,2.28979,-0.1462939,-0.3990968,0.07833941,2.266371,307.8272,15.77275
